Model,Accuracy,F1_Score,CV_Mean,CV_Std
Random Forest,0.5673076923076923,0.4348776223776224,0.5335628227194491,0.024894574501569074
XGBoost,0.5673076923076923,0.4348776223776224,0.5408491107286288,0.014402173189886845
LightGBM,0.5673076923076923,0.4348776223776224,0.5312105565117613,0.020915663154199928
Neural Network,0.5384615384615384,0.37692307692307686,0.5336488812392426,0.008994659298074971
Logistic Regression,0.5384615384615384,0.37692307692307686,0.5360585197934595,0.005390863946081147
