,model_name,accuracy,macro_f1,top3_accuracy,balanced_accuracy,macro_roc_auc
XGB,XGB,0.7907541040489607,0.7874982073499663,0.9767851366502983,0.8403793802181622,
LGB,LGB,0.8294568929943567,0.8019803574211224,0.9749083282460881,0.8365525746267799,0.9807889831867443
GB,GB,0.8181246995282442,0.8127135767132349,0.972273500032834,0.8373185395242844,0.9813864102075502
RF,RF,0.9068235564992294,0.8932424472253812,0.9704980311752874,0.8466656105900984,0.9845182127161242
LR,LR,0.7818791919103477,0.8403863957327673,0.9853989981167058,0.864823169357824,0.9873282005071794
Voting,Voting,0.8079826376981493,0.8430115889379908,0.9751491110089608,0.8387234527799313,0.9817568954786916
Stacking,Stacking,0.9068235564992294,0.8932424472253812,0.9719281348578044,0.8466656105900984,0.9765291159217522
