feature,importance
연인원,0.16201826765494595
age_diversity,0.13817359563789183
60-64_ratio,0.10508108193478588
65-69_ratio,0.09564324397569399
59이하_ratio,0.09231915631153308
70-79_ratio,0.09230224068747553
80-89_ratio,0.09185867750812719
90이상_ratio,0.08974102091776129
dept_encoded,0.0694962311840064
year_encoded,0.03262222922362996
is_inpatient,0.0307442549641489
