상병코드,지역,연인원
 I50 ,부산,2691.0
 M51 ,부산,8169.0
 H25 ,부산,119.0
 M17 ,부산,5073.0
 M96 ,부산,5683.0
 S46 ,부산,4659.0
 I63 ,부산,5281.0
 C16 ,부산,1900.0
 M75 ,부산,3312.0
 K40 ,부산,401.0
 S32 ,부산,2931.0
 K63 ,부산,647.0
 G81 ,부산,4895.0
 C61 ,부산,1286.0
 N18 ,부산,3059.0
 C34 ,부산,2066.0
 I69 ,부산,3046.0
 M43 ,부산,2089.0
 G82 ,부산,1960.0
 M54 ,부산,1956.0
 N40 ,부산,29435.0
 E11 ,부산,22656.0
 L30 ,부산,21747.0
 M17 ,부산,17450.0
 I20 ,부산,17077.0
 M48 ,부산,16763.0
 N18 ,부산,13928.0
 K05 ,부산,12407.0
 I10 ,부산,11643.0
 K08 ,부산,8535.0
 M54 ,부산,8504.0
 K02 ,부산,7810.0
 N31 ,부산,7558.0
 F06 ,부산,7422.0
 H35 ,부산,7056.0
 I63 ,부산,7001.0
 H36 ,부산,6995.0
 M75 ,부산,6706.0
 C61 ,부산,6406.0
K21,부산,6301.0
 H25 ,인천,448.0
 E11 ,인천,2993.0
 M48 ,인천,1946.0
 N31 ,인천,2443.0
 N40 ,인천,1317.0
 K08 ,인천,154.0
 M17 ,인천,2292.0
 J44 ,인천,1424.0
 M75 ,인천,903.0
 M19 ,인천,1587.0
 J21 ,인천,526.0
 I10 ,인천,772.0
 C67 ,인천,767.0
 C61 ,인천,1013.0
 M96 ,인천,502.0
 J45 ,인천,549.0
 K56 ,인천,602.0
 K29 ,인천,367.0
 D41 ,인천,146.0
 A09 ,인천,200.0
 J18 ,인천,518.0
 G81 ,인천,506.0
 K81 ,인천,402.0
 K59 ,인천,373.0
 N40 ,인천,0.0
 Z26 ,인천,0.0
 I10 ,인천,0.0
 K05 ,인천,0.0
 E11 ,인천,0.0
 M48 ,인천,0.0
 H04 ,인천,0.0
 M19 ,인천,0.0
 H25 ,인천,0.0
 M54 ,인천,0.0
 L24 ,인천,0.0
 K04 ,인천,0.0
 B35 ,인천,0.0
 I63 ,인천,0.0
 K29 ,인천,0.0
 R52 ,인천,0.0
 K02 ,인천,0.0
 H90 ,인천,0.0
 K21 ,인천,0.0
 M75 ,인천,0.0
 N40 ,인천,1584.0
 U07 ,인천,466.0
 M48 ,인천,813.0
 E11 ,인천,864.0
 N31 ,인천,1243.0
 C67 ,인천,626.0
 C61 ,인천,534.0
 M54 ,인천,267.0
 M19 ,인천,235.0
 M17 ,인천,237.0
 C34 ,인천,179.0
 J44 ,인천,185.0
 G81 ,인천,280.0
 E14 ,인천,234.0
 I63 ,인천,197.0
 G95 ,인천,191.0
 D17 ,인천,143.0
 A09 ,인천,78.0
 K29 ,인천,63.0
 H25 ,인천,8.0
 M51 ,인천,208.0
 M50 ,인천,184.0
 I10 ,인천,175.0
 S72 ,인천,158.0
 N40 ,인천,
 I10 ,인천,
 M54 ,인천,
 K05 ,인천,
 E11 ,인천,
 Z26 ,인천,
 U07 ,인천,
 M48 ,인천,
 M17 ,인천,
 M75 ,인천,
 M51 ,인천,
 I63 ,인천,
 H04 ,인천,
 K04 ,인천,
 M19 ,인천,
 B35 ,인천,
 G81 ,인천,
 L24 ,인천,
 K29 ,인천,
 H25 ,인천,
M48,인천,1939.0
N40,인천,3027.0
M17,인천,2529.0
M75,인천,1723.0
C67,인천,1366.0
C61,인천,1306.0
E11,인천,1406.0
I63,인천,1098.0
N31,인천,1111.0
H25,인천,117.0
J18,인천,778.0
G81,인천,859.0
M17,인천,274.0
M51,인천,385.0
M54,인천,412.0
S22,인천,387.0
M17,인천,17.0
N31,인천,308.0
A09,인천,16.0
D09,인천,14.0
M17,인천,1723.0
C61,인천,1406.0
F00,인천,274.0
I61,인천,431.0
S72,인천,420.0
S82,인천,352.0
S32,인천,284.0
N30,인천,308.0
N40,인천,18554.0
K05,인천,5592.0
M48,인천,4839.0
E11,인천,7490.0
I10,인천,10177.0
M17,인천,7013.0
M75,인천,7161.0
Z26,인천,7920.0
M54,인천,13303.0
K04,인천,2042.0
J40,인천,3805.0
H25,인천,2555.0
I63,인천,2872.0
G81,인천,2188.0
H04,인천,2263.0
M51,인천,2103.0
H90,인천,2395.0
M50,인천,3238.0
B35,인천,2597.0
L23,인천,2215.0
 U07 ,대구,7164.0
 I20 ,대구,6529.0
 H25 ,대구,723.0
 M48 ,대구,9712.0
 E11 ,대구,11123.0
 Z51 ,대구,5229.0
 M51 ,대구,5806.0
 M17 ,대구,4883.0
 I48 ,대구,1764.0
 Z03 ,대구,151.0
 S32 ,대구,4033.0
 R07 ,대구,297.0
 N18 ,대구,11137.0
 C61 ,대구,453.0
 M75 ,대구,2159.0
 J18 ,대구,7103.0
 K80 ,대구,685.0
 I50 ,대구,3022.0
 D13 ,대구,354.0
 I63 ,대구,1770.0
 N40 ,대구,33289.0
 E11 ,대구,23418.0
 I10 ,대구,22925.0
 M51 ,대구,14974.0
 M48 ,대구,13584.0
 I20 ,대구,13018.0
 Z26 ,대구,10966.0
 I63 ,대구,10346.0
 H25 ,대구,8992.0
 K08 ,대구,8964.0
 N18 ,대구,7971.0
 K05 ,대구,6765.0
 M17 ,대구,6313.0
 K21 ,대구,5859.0
 F00 ,대구,5426.0
 M75 ,대구,5248.0
 U07 ,대구,5044.0
 C61 ,대구,5011.0
 B35 ,대구,4935.0
I48,대구,4758.0
U07,대구,10726.0
I20,대구,5480.0
H25,대구,640.0
M51,대구,9236.0
M48,대구,7815.0
Z51,대구,5177.0
E11,대구,8561.0
R07,대구,624.0
M17,대구,4603.0
I48,대구,2233.0
J18,대구,3742.0
Z03,대구,155.0
M75,대구,2343.0
S32,대구,3131.0
N18,대구,5824.0
Z50,대구,4482.0
C61,대구,182.0
K80,대구,487.0
K40,대구,184.0
A09,대구,612.0
N40,대구,29425.0
E11,대구,24269.0
U07,대구,23721.0
I10,대구,19323.0
M51,대구,19624.0
I20,대구,13609.0
M48,대구,12019.0
I63,대구,10461.0
N18,대구,9759.0
K08,대구,8389.0
Z26,대구,8151.0
H25,대구,7536.0
K05,대구,6622.0
M17,대구,6042.0
K21,대구,5697.0
F00,대구,5307.0
Z11,대구,5019.0
C61,대구,4966.0
K04,대구,4875.0
G62,대구,4884.0
 I20 ,대구,5412.0
 H25 ,대구,562.0
 M51 ,대구,11509.0
 Z51 ,대구,5302.0
 E11 ,대구,10439.0
 M17 ,대구,5862.0
 M48 ,대구,6937.0
 I48 ,대구,2246.0
 S32 ,대구,3807.0
 J18 ,대구,6065.0
 R07 ,대구,505.0
 M75 ,대구,2454.0
 N18 ,대구,4667.0
 C61 ,대구,323.0
 Z50 ,대구,4576.0
 Z03 ,대구,80.0
 J44 ,대구,2968.0
 U07 ,대구,1095.0
 I70 ,대구,779.0
 S22 ,대구,1635.0
 N40 ,대구,24961.0
 M51 ,대구,22781.0
 E11 ,대구,21303.0
 I10 ,대구,18000.0
 I20 ,대구,13445.0
 M48 ,대구,11214.0
 N18 ,대구,10858.0
 I63 ,대구,9568.0
 K08 ,대구,8233.0
 Z26 ,대구,7700.0
 H25 ,대구,7442.0
 M17 ,대구,6704.0
 K05 ,대구,6416.0
 F00 ,대구,5941.0
 G62 ,대구,5590.0
 K04 ,대구,5159.0
 C61 ,대구,4845.0
 M75 ,대구,4729.0
 B35 ,대구,4521.0
 I48 ,대구,4562.0
 U07 ,대전,10091.0
 M48 ,대전,7404.0
 K63 ,대전,1618.0
 E11 ,대전,4531.0
 H25 ,대전,205.0
 M17 ,대전,5113.0
 K29 ,대전,700.0
 M51 ,대전,1906.0
 M75 ,대전,2763.0
 M96 ,대전,1741.0
 C16 ,대전,1907.0
