상병코드,지역
J219,광주
J300,광주
J301,광주
J304,광주
J320,광주
J329,광주
J343,광주
J348,광주
J36,광주
J3848,광주
J398,광주
J40,광주
J42,광주
J439,광주
J4400,광주
J4409,광주
J4410,광주
J4412,광주
J4419,광주
J4481,광주
J4482,광주
J4490,광주
J4491,광주
J4492,광주
J4499,광주
J4501,광주
J4511,광주
J4519,광주
J459,광주
J47,광주
J64,광주
J698,광주
J700,광주
J80,광주
J81,광주
J8418,광주
J849,광주
J869,광주
J90,광주
J931,광주
J939,광주
J942,광주
J9601,광주
J9690,광주
J9810,광주
J9840,광주
J985,광주
K0509,광주
K0520,광주
K0532,광주
K1120,광주
K113,광주
K118,광주
K210,광주
K219,광주
K2210,광주
K2501,광주
K2531,광주
K2551,광주
K2591,광주
K260,광주
K264,광주
K269,광주
K274,광주
K279,광주
K291,광주
K296,광주
K297,광주
K298,광주
K30,광주
K317,광주
K3188,광주
K319,광주
K352,광주
K353,광주
K358,광주
K36,광주
K4020,광주
K4030,광주
K4090,광주
K4091,광주
K432,광주
K439,광주
K5000,광주
K5001,광주
K518,광주
K519,광주
K529,광주
K550,광주
K5520,광주
K559,광주
K560,광주
K561,광주
K562,광주
K564,광주
K565,광주
K566,광주
K567,광주
K5710,광주
K5730,광주
K5732,광주
K5792,광주
K580,광주
K5900,광주
K5909,광주
K591,광주
K599,광주
K601,광주
K603,광주
K610,광주
K621,광주
K623,광주
K624,광주
K625,광주
K627,광주
K629,광주
K631,광주
K633,광주
K6359,광주
K639,광주
K641,광주
K642,광주
K643,광주
K644,광주
K649,광주
K650,광주
K659,광주
K661,광주
K668,광주
K7010,광주
K7030,광주
K716,광주
K7290,광주
K7409,광주
K7420,광주
K7421,광주
K7462,광주
K7469,광주
K750,광주
K759,광주
K767,광주
K769,광주
K8000,광주
K8001,광주
K8010,광주
K8020,광주
K8030,광주
K8040,광주
K8050,광주
K8080,광주
K810,광주
K811,광주
K819,광주
K822,광주
K828,광주
K830,광주
K851,광주
K858,광주
K859,광주
K861,광주
K868,광주
K911,광주
K912,광주
K921,광주
K922,광주
L00,광주
L0109,광주
L0230,광주
L0240,광주
L0280,광주
L0290,광주
L0310,광주
L0311,광주
L039,광주
L040,광주
L059,광주
L089,광주
L209,광주
L309,광주
L500,광주
L5088,광주
L511,광주
L600,광주
L720,광주
L891,광주
L899,광주
L929,광주
L984,광주
M0091,광주
M0096,광주
M0099,광주
M1009,광주
M1099,광주
M1385,광주
M1386,광주
M1387,광주
M1389,광주
M167,광주
M169,광주
M170,광주
M179,광주
M1901,광주
M1929,광주
M1989,광주
M1996,광주
M1997,광주
M1999,광주
M2000,광주
M201,광주
M204,광주
M206,광주
M2199,광주
M2319,광주
M2329,광주
M2339,광주
M2421,광주
M2559,광주
M303,광주
M4029,광주
M4306,광주
M4316,광주
M4317,광주
M4319,광주
M4646,광주
M4659,광주
M4716,광주
M4796,광주
M4802,광주
M4806,광주
M4807,광주
M4809,광주
M4850,광주
M4854,광주
M4856,광주
M4859,광주
M4882,광주
M4889,광주
M501,광주
M502,광주
M509,광주
M511,광주
M512,광주
M5419,광주
M5422,광주
M5439,광주
M5447,광주
M5450,광주
M5456,광주
M5459,광주
M5465,광주
M6099,광주
M6265,광주
M6266,광주
M6269,광주
M6289,광주
M6299,광주
M6519,광주
M6539,광주
M654,광주
M6591,광주
M6595,광주
M6599,광주
M6739,광주
M6746,광주
M6747,광주
M6749,광주
M6791,광주
M704,광주
M707,광주
M7119,광주
M7155,광주
M7159,광주
M720,광주
M722,광주
M750,광주
M751,광주
M753,광주
M7689,광주
M771,광주
M79100,광주
M79108,광주
M79180,광주
M79190,광주
M7929,광주
M7999,광주
M8009,광주
M8029,광주
M8189,광주
M8199,광주
M8439,광주
M8445,광주
M8639,광주
M8697,광주
M8699,광주
M8795,광주
M8909,광주
M939,광주
