상병코드,59이하,60-64,65-69,70-79,80-89,90이상
 K29 ,147.0,94.0,138.0,1285,192.0,60.0
 H25 ,18.0,44.0,114.0,1066,149.0,24.0
M48,3.0,6.0,5.0,238,49.0,8.0
N40,0.0,1.0,1.0,83,11.0,16.0
M17,4.0,1.0,10.0,38,5.0,1.0
M75,4.0,5.0,6.0,55,4.0,0.0
C67,0.0,1.0,0.0,36,11.0,22.0
C61,0.0,0.0,0.0,8,6.0,12.0
E11,0.0,1.0,7.0,38,14.0,12.0
I63,0.0,0.0,1.0,25,9.0,4.0
N31,1.0,0.0,0.0,22,9.0,9.0
H25,0.0,1.0,4.0,105,7.0,0.0
J18,2.0,0.0,6.0,21,10.0,4.0
G81,0.0,0.0,0.0,9,6.0,1.0
M17,0.0,0.0,0.0,22,12.0,2.0
M51,5.0,0.0,0.0,16,4.0,1.0
M54,0.0,0.0,0.0,6,6.0,2.0
S22,0.0,1.0,0.0,8,4.0,3.0
M17,0.0,0.0,0.0,9,5.0,3.0
N31,0.0,0.0,0.0,6,4.0,4.0
A09,1.0,1.0,2.0,8,4.0,0.0
D09,0.0,0.0,0.0,13,1.0,0.0
M48,8.0,30.0,23.0,1268,482.0,128.0
N40,0.0,8.0,9.0,2403,126.0,481.0
M17,56.0,54.0,254.0,1283,76.0,0.0
M75,56.0,54.0,254.0,1283,76.0,0.0
C67,0.0,3.0,0.0,442,193.0,728.0
C61,0.0,5.0,173.0,671,229.0,328.0
E11,0.0,5.0,173.0,671,229.0,328.0
I63,0.0,0.0,67.0,469,453.0,109.0
N31,31.0,0.0,0.0,574,172.0,334.0
J18,18.0,0.0,38.0,243,234.0,245.0
G81,0.0,0.0,0.0,445,353.0,61.0
F00,0.0,0.0,0.0,155,76.0,43.0
M51,19.0,0.0,0.0,319,35.0,12.0
I61,104.0,0.0,0.0,327,0.0,0.0
S72,0.0,0.0,0.0,231,57.0,132.0
M54,0.0,0.0,0.0,95,185.0,132.0
S22,0.0,67.0,0.0,170,73.0,77.0
S82,0.0,39.0,0.0,262,51.0,0.0
S32,0.0,0.0,0.0,198,81.0,5.0
N30,0.0,0.0,0.0,183,65.0,60.0
N40,255.0,464.0,809.0,13304,2651.0,1071.0
K05,437.0,220.0,439.0,3582,697.0,217.0
M48,115.0,146.0,219.0,3372,766.0,221.0
E11,513.0,340.0,659.0,4730,983.0,265.0
I10,535.0,543.0,841.0,6172,1445.0,641.0
M17,420.0,320.0,674.0,4654,777.0,168.0
M75,1272.0,453.0,568.0,4142,492.0,234.0
Z26,2141.0,728.0,935.0,3520,490.0,106.0
M54,978.0,645.0,1375.0,8091,1794.0,420.0
K04,92.0,86.0,127.0,1359,310.0,68.0
J40,402.0,148.0,262.0,2310,520.0,163.0
H25,15.0,50.0,209.0,2035,219.0,27.0
I63,252.0,22.0,290.0,1400,713.0,195.0
G81,281.0,1.0,235.0,1391,217.0,63.0
H04,166.0,97.0,149.0,1435,301.0,115.0
M51,299.0,49.0,298.0,995,324.0,138.0
H90,50.0,64.0,85.0,1664,400.0,132.0
M50,500.0,274.0,230.0,1924,270.0,40.0
B35,202.0,113.0,169.0,1744,308.0,61.0
L23,147.0,79.0,110.0,1539,266.0,74.0
 U07 ,729.0,12.0,20.0,26,14.0,
 I20 ,9.0,17.0,46.0,468,62.0,15.0
 H25 ,9.0,11.0,44.0,437,42.0,11.0
 M48 ,,9.0,12.0,183,35.0,16.0
 E11 ,10.0,9.0,8.0,170,31.0,4.0
 Z51 ,18.0,11.0,22.0,72,48.0,19.0
 M51 ,10.0,7.0,8.0,149,11.0,3.0
 M17 ,2.0,7.0,16.0,118,11.0,
 I48 ,1.0,7.0,7.0,107,12.0,3.0
 Z03 ,3.0,10.0,9.0,88,12.0,
 S32 ,3.0,2.0,5.0,62,33.0,10.0
 R07 ,11.0,4.0,13.0,72,8.0,3.0
 N18 ,4.0,7.0,6.0,58,14.0,13.0
 C61 ,2.0,1.0,5.0,81,6.0,2.0
 M75 ,4.0,5.0,8.0,74,3.0,
 J18 ,,,1.0,47,20.0,23.0
 K80 ,7.0,3.0,5.0,50,8.0,2.0
 I50 ,2.0,,1.0,20,32.0,12.0
 D13 ,1.0,1.0,7.0,50,6.0,
 I63 ,3.0,2.0,2.0,27,19.0,10.0
 N18 ,154.0,307.0,2196.0,5601,2119.0,760.0
 E11 ,250.0,465.0,180.0,8998,879.0,351.0
 M48 ,,159.0,290.0,6464,1806.0,993.0
 U07 ,6492.0,99.0,214.0,232,127.0,
 J18 ,,,12.0,1938,4432.0,721.0
 I20 ,25.0,202.0,128.0,4636,840.0,698.0
 M51 ,75.0,344.0,329.0,4527,463.0,68.0
 Z51 ,483.0,222.0,533.0,2031,1443.0,517.0
 M17 ,114.0,194.0,516.0,3805,254.0,
 S32 ,75.0,39.0,190.0,2399,1019.0,311.0
 I50 ,6.0,,14.0,676,2059.0,267.0
 M75 ,72.0,87.0,158.0,1732,110.0,
 I63 ,86.0,11.0,21.0,795,667.0,190.0
 I48 ,7.0,29.0,61.0,1254,288.0,125.0
 H25 ,10.0,13.0,58.0,577,51.0,14.0
 K80 ,36.0,15.0,26.0,365,163.0,80.0
 C61 ,2.0,1.0,28.0,405,15.0,2.0
 D13 ,4.0,2.0,20.0,285,43.0,
 R07 ,22.0,4.0,28.0,200,22.0,21.0
 Z03 ,3.0,10.0,9.0,115,14.0,
 N40 ,490.0,910.0,1675.0,24995,3900.0,1319.0
 E11 ,1370.0,1266.0,2132.0,15483,2620.0,547.0
 I10 ,1248.0,1386.0,2295.0,14066,3038.0,892.0
 M51 ,1086.0,645.0,1065.0,10960,1047.0,171.0
 M48 ,246.0,411.0,987.0,9523,2039.0,378.0
 I20 ,321.0,382.0,907.0,9703,1444.0,261.0
 Z26 ,4095.0,1363.0,1245.0,3802,374.0,87.0
 I63 ,225.0,327.0,567.0,6600,2125.0,502.0
 H25 ,84.0,194.0,628.0,6995,883.0,208.0
 K08 ,278.0,373.0,618.0,6710,770.0,215.0
 N18 ,802.0,508.0,282.0,4973,852.0,554.0
 K05 ,649.0,416.0,581.0,4626,436.0,57.0
 M17 ,285.0,304.0,796.0,4090,724.0,114.0
 K21 ,421.0,305.0,680.0,3890,450.0,113.0
 F00 ,10.0,23.0,90.0,1966,2444.0,893.0
 M75 ,366.0,292.0,510.0,3834,234.0,12.0
 U07 ,3499.0,215.0,284.0,900,123.0,23.0
 C61 ,24.0,25.0,120.0,3515,1131.0,196.0
 B35 ,287.0,232.0,349.0,3605,386.0,76.0
I48,115.0,159.0,247.0,3286,793.0,158.0
U07,387.0,34.0,66.0,221,231.0,55.0
I20,19.0,20.0,39.0,494,82.0,16.0
H25,0.0,12.0,27.0,397,34.0,11.0
M51,16.0,9.0,7.0,183,31.0,6.0
M48,3.0,4.0,7.0,159,39.0,20.0
Z51,17.0,13.0,25.0,88,42.0,24.0
E11,10.0,6.0,6.0,151,21.0,4.0
R07,9.0,7.0,5.0,99,13.0,3.0
M17,2.0,2.0,12.0,102,15.0,1.0
I48,5.0,2.0,3.0,100,14.0,9.0
J18,0.0,0.0,3.0,53,35.0,25.0
Z03,2.0,3.0,6.0,94,7.0,0.0
M75,4.0,10.0,14.0,65,1.0,0.0
S32,0.0,1.0,6.0,45,26.0,10.0
N18,2.0,1.0,9.0,47,20.0,6.0
Z50,5.0,6.0,3.0,51,8.0,0.0
C61,0.0,2.0,2.0,57,8.0,1.0
K80,7.0,0.0,14.0,37,1.0,4.0
K40,0.0,4.0,1.0,44,7.0,2.0
A09,4.0,3.0,4.0,26,10.0,7.0
U07,3557.0,505.0,753.0,2482,2617.0,812.0
M51,340.0,362.0,261.0,6248,1068.0,957.0
E11,354.0,300.0,89.0,5604,2160.0,54.0
M48,225.0,105.0,232.0,4919,1434.0,900.0
N18,163.0,43.0,244.0,2822,961.0,1591.0
I20,21.0,78.0,84.0,4124,877.0,296.0
Z51,596.0,281.0,423.0,1911,1244.0,722.0
M17,73.0,89.0,401.0,3430,565.0,45.0
Z50,1012.0,254.0,127.0,2524,565.0,0.0
J18,0.0,0.0,19.0,1599,768.0,1356.0
S32,0.0,39.0,214.0,1573,919.0,386.0
M75,117.0,227.0,307.0,1662,30.0,0.0
I48,14.0,7.0,17.0,1646,344.0,205.0
H25,0.0,16.0,27.0,536,40.0,21.0
R07,22.0,7.0,20.0,507,41.0,27.0
A09,18.0,22.0,32.0,321,128.0,91.0
K80,38.0,0.0,66.0,177,44.0,162.0
K40,0.0,11.0,3.0,144,20.0,6.0
C61,0.0,2.0,2.0,143,16.0,19.0
Z03,2.0,3.0,6.0,137,7.0,0.0
N40,430.0,652.0,1319.0,22169,3381.0,1474.0
E11,1358.0,1233.0,2171.0,16074,2736.0,697.0
U07,8028.0,3741.0,3588.0,6199,1810.0,355.0
I10,1061.0,1118.0,1927.0,11919,2361.0,937.0
M51,1049.0,794.0,775.0,15350,1454.0,202.0
I20,378.0,425.0,860.0,10089,1502.0,355.0
M48,216.0,389.0,776.0,8365,1685.0,588.0
I63,179.0,270.0,557.0,6889,1893.0,673.0
N18,977.0,598.0,579.0,5961,1058.0,586.0
K08,314.0,364.0,517.0,6195,793.0,206.0
Z26,2769.0,1103.0,811.0,2962,363.0,143.0
H25,37.0,183.0,391.0,5908,803.0,214.0
K05,555.0,453.0,567.0,4550,426.0,71.0
M17,238.0,231.0,686.0,4087,669.0,131.0
K21,385.0,211.0,529.0,3929,536.0,107.0
F00,5.0,25.0,115.0,2072,1997.0,1093.0
Z11,1815.0,357.0,471.0,2032,281.0,63.0
C61,18.0,20.0,93.0,3610,960.0,265.0
K04,341.0,175.0,343.0,3444,499.0,73.0
G62,24.0,0.0,5.0,4709,139.0,7.0
 I20 ,9.0,20.0,30.0,452,75.0,10.0
 H25 ,3.0,8.0,33.0,408,46.0,8.0
 M51 ,11.0,14.0,9.0,198,52.0,8.0
 Z51 ,20.0,18.0,25.0,87,52.0,34.0
 E11 ,13.0,11.0,5.0,148,39.0,6.0
 M17 ,3.0,5.0,16.0,132,11.0,
 M48 ,1.0,,8.0,109,19.0,11.0
 I48 ,8.0,1.0,6.0,84,16.0,22.0
 S32 ,4.0,,3.0,60,35.0,19.0
 J18 ,,3.0,4.0,58,25.0,31.0
 R07 ,5.0,5.0,5.0,66,11.0,1.0
 M75 ,3.0,2.0,13.0,72,2.0,
 N18 ,4.0,1.0,3.0,54,8.0,4.0
 C61 ,,2.0,4.0,56,10.0,1.0
 Z50 ,8.0,5.0,7.0,37,10.0,
 Z03 ,2.0,4.0,5.0,52,1.0,
 J44 ,,,1.0,43,13.0,5.0
 U07 ,2.0,1.0,3.0,25,11.0,17.0
 I70 ,1.0,2.0,3.0,37,8.0,4.0
 S22 ,,1.0,3.0,21,25.0,5.0
 M51 ,247.0,444.0,284.0,8114,2236.0,184.0
 E11 ,508.0,251.0,94.0,8046,1255.0,285.0
 M48 ,69.0,,313.0,4858,1168.0,529.0
 J18 ,,14.0,43.0,2630,586.0,2792.0
 M17 ,64.0,168.0,674.0,4467,489.0,
 I20 ,10.0,34.0,55.0,4055,1150.0,108.0
 Z51 ,339.0,328.0,728.0,1821,1281.0,805.0
 N18 ,223.0,64.0,53.0,3850,385.0,92.0
 Z50 ,461.0,260.0,364.0,2341,1150.0,
 S32 ,132.0,,96.0,2052,936.0,591.0
 J44 ,,,1.0,1302,1457.0,208.0
 M75 ,52.0,62.0,261.0,2023,56.0,
 I48 ,19.0,2.0,28.0,1211,426.0,560.0
 S22 ,,9.0,123.0,625,744.0,134.0
 U07 ,5.0,20.0,131.0,572,184.0,183.0
 I70 ,10.0,4.0,25.0,430,252.0,58.0
 H25 ,4.0,9.0,35.0,454,51.0,9.0
 R07 ,8.0,5.0,5.0,391,81.0,15.0
 C61 ,,2.0,5.0,224,91.0,1.0
 Z03 ,2.0,4.0,5.0,68,1.0,
 N40 ,386.0,584.0,1075.0,18255,3098.0,1563.0
 M51 ,903.0,643.0,985.0,17897,1966.0,387.0
 E11 ,1162.0,1064.0,1758.0,13842,2783.0,694.0
 I10 ,1064.0,839.0,1746.0,10748,2581.0,1022.0
 I20 ,350.0,406.0,760.0,9737,1768.0,424.0
 M48 ,183.0,386.0,549.0,7625,1726.0,745.0
 N18 ,621.0,410.0,907.0,7054,1162.0,704.0
 I63 ,153.0,291.0,526.0,6020,1820.0,758.0
 K08 ,341.0,277.0,484.0,5928,1001.0,202.0
 Z26 ,2534.0,899.0,658.0,2851,520.0,238.0
 H25 ,60.0,158.0,410.0,5680,910.0,224.0
 M17 ,267.0,282.0,581.0,4691,695.0,188.0
 K05 ,547.0,378.0,579.0,4273,494.0,145.0
 F00 ,,46.0,70.0,2274,2246.0,1305.0
 G62 ,14.0,7.0,,5121,441.0,7.0
 K04 ,440.0,137.0,332.0,3678,487.0,85.0
 C61 ,17.0,27.0,74.0,3437,987.0,303.0
 M75 ,214.0,215.0,479.0,3442,352.0,27.0
 B35 ,264.0,182.0,225.0,3283,451.0,116.0
 I48 ,135.0,104.0,177.0,3204,637.0,305.0
 U07 ,765.0,109.0,80.0,135,78.0,20.0
 M48 ,7.0,8.0,25.0,566,73.0,16.0
 K63 ,6.0,20.0,14.0,250,30.0,1.0
 E11 ,9.0,11.0,8.0,172,32.0,1.0
 H25 ,1.0,,18.0,172,8.0,6.0
 M17 ,4.0,5.0,11.0,109,19.0,1.0
 K29 ,6.0,6.0,8.0,106,13.0,5.0
 M51 ,19.0,7.0,6.0,92,12.0,1.0
 M75 ,8.0,9.0,7.0,96,8.0,1.0
 M96 ,2.0,2.0,3.0,92,10.0,2.0
 C16 ,10.0,2.0,3.0,62,22.0,
 N18 ,3.0,4.0,5.0,68,7.0,4.0
 C18 ,3.0,1.0,2.0,71,4.0,2.0
 M43 ,1.0,2.0,7.0,61,7.0,5.0
 I20 ,2.0,2.0,3.0,60,6.0,
 S32 ,2.0,1.0,4.0,28,20.0,16.0
 I63 ,3.0,2.0,2.0,41,14.0,6.0
 K59 ,3.0,1.0,3.0,45,12.0,1.0
 K40 ,1.0,3.0,2.0,42,9.0,4.0
 N40 ,1.0,3.0,2.0,51,4.0,
 U07 ,6472.0,909.0,639.0,1093,667.0,311.0
 M48 ,59.0,48.0,161.0,5558,1142.0,436.0
 M17 ,43.0,377.0,341.0,3685,579.0,88.0
 E11 ,255.0,122.0,402.0,2936,671.0,145.0
 I69 ,335.0,,,2009,682.0,9.0
 M75 ,111.0,276.0,86.0,2170,81.0,39.0
 J18 ,60.0,2.0,44.0,723,985.0,619.0
 I61 ,,,,1230,867.0,74.0
 J98 ,21.0,,2.0,610,825.0,472.0
 C16 ,222.0,28.0,70.0,1181,406.0,
 M51 ,89.0,96.0,134.0,1303,261.0,23.0
 M96 ,3.0,2.0,111.0,1489,108.0,28.0
 S32 ,58.0,2.0,109.0,538,508.0,487.0
 K63 ,12.0,99.0,60.0,1287,159.0,1.0
 M54 ,17.0,,36.0,1297,182.0,50.0
 S06 ,,,5.0,1188,352.0,20.0
 G82 ,552.0,,11.0,961,,
 I63 ,10.0,14.0,38.0,930,309.0,51.0
 S72 ,,,54.0,314,661.0,309.0
 R42 ,18.0,,2.0,1195,62.0,10.0
 N40 ,277.0,663.0,1217.0,19621,3120.0,1194.0
 E11 ,1050.0,1123.0,1797.0,13721,1931.0,411.0
 I10 ,900.0,853.0,1400.0,9582,1724.0,652.0
 U07 ,10929.0,971.0,915.0,1647,356.0,108.0
 M48 ,262.0,397.0,838.0,11155,1667.0,409.0
 K05 ,1228.0,746.0,1232.0,9419,899.0,182.0
 M54 ,854.0,605.0,798.0,8802,1289.0,260.0
 K63 ,607.0,666.0,903.0,7106,580.0,29.0
 K29 ,1467.0,772.0,853.0,5010,748.0,166.0
 I69 ,269.0,213.0,485.0,6231,1414.0,345.0
 E86 ,273.0,441.0,883.0,5546,1167.0,298.0
 M17 ,323.0,373.0,696.0,5346,1039.0,164.0
 Z26 ,4714.0,697.0,418.0,1319,179.0,38.0
 N18 ,744.0,481.0,195.0,4270,1071.0,473.0
 Z29 ,3784.0,303.0,237.0,2068,261.0,64.0
 F03 ,,59.0,215.0,3497,1801.0,894.0
 L29 ,249.0,160.0,295.0,4428,593.0,195.0
 M75 ,479.0,419.0,485.0,3526,333.0,69.0
 R42 ,194.0,216.0,332.0,3227,701.0,281.0
J44,23.0,92.0,144.0,3666,576.0,228.0
  M48  ,7.0,9.0,23.0,543,75.0,17.0
  U07  ,143.0,26.0,27.0,120,98.0,32.0
  K63  ,7.0,13.0,16.0,276,40.0,3.0
  H25  ,1.0,5.0,17.0,200,25.0,2.0
  E11  ,5.0,3.0,10.0,152,19.0,1.0
  M17  ,6.0,11.0,7.0,136,22.0,4.0
  M51  ,14.0,4.0,7.0,109,13.0,0.0
  M96  ,2.0,1.0,3.0,110,19.0,2.0
  M75  ,4.0,2.0,11.0,100,11.0,0.0
  N18  ,2.0,3.0,1.0,82,23.0,15.0
  I20  ,0.0,1.0,6.0,78,16.0,0.0
  M43  ,0.0,2.0,4.0,79,11.0,4.0
  K29  ,4.0,3.0,6.0,62,13.0,2.0
  S32  ,0.0,2.0,2.0,44,17.0,13.0
  C18  ,13.0,4.0,2.0,37,16.0,1.0
  C16  ,6.0,2.0,2.0,42,11.0,7.0
  N40  ,1.0,2.0,5.0,50,6.0,0.0
  I63  ,2.0,3.0,2.0,36,12.0,8.0
  I83  ,5.0,4.0,7.0,36,4.0,0.0
  R07  ,2.0,0.0,3.0,48,3.0,0.0
  M48  ,73.0,190.0,130.0,3998,928.0,390.0
  M17  ,296.0,244.0,149.0,3831,637.0,103.0
  U07  ,948.0,188.0,166.0,1190,663.0,430.0
  E11  ,64.0,44.0,157.0,2793,447.0,15.0
  I69  ,365.0,11.0,97.0,1894,691.0,31.0
  M75  ,36.0,11.0,297.0,1936,312.0,0.0
  G82  ,649.0,0.0,0.0,1785,0.0,0.0
  N18  ,2.0,3.0,1.0,1183,343.0,447.0
  S06  ,0.0,13.0,39.0,1183,453.0,251.0
  M96  ,5.0,17.0,24.0,1524,317.0,31.0
  S72  ,0.0,27.0,82.0,629,551.0,585.0
  J18  ,5.0,0.0,29.0,395,780.0,276.0
  I63  ,10.0,24.0,30.0,797,473.0,148.0
  K63  ,18.0,37.0,19.0,1180,140.0,50.0
  M51  ,45.0,7.0,81.0,1132,158.0,0.0
  M54  ,5.0,48.0,16.0,1023,135.0,6.0
  C16  ,102.0,13.0,19.0,534,315.0,167.0
  C34  ,124.0,1.0,157.0,407,370.0,88.0
  S32  ,0.0,13.0,40.0,618,286.0,134.0
  K80  ,28.0,14.0,3.0,843,59.0,34.0
  N40  ,305.0,576.0,1139.0,19647,3208.0,1390.0
  E11  ,1030.0,1028.0,1492.0,13961,1812.0,465.0
  M48  ,286.0,397.0,830.0,11162,1744.0,542.0
  I10  ,883.0,716.0,1310.0,9273,1701.0,709.0
  K05  ,1127.0,728.0,1226.0,9272,1189.0,196.0
  M54  ,960.0,454.0,633.0,8181,1365.0,210.0
  U07  ,5317.0,1103.0,984.0,2662,614.0,140.0
  K63  ,586.0,581.0,805.0,7234,727.0,65.0
  E86  ,264.0,421.0,657.0,6145,1262.0,409.0
  Z29  ,4273.0,441.0,362.0,3138,524.0,90.0
  M17  ,395.0,359.0,779.0,5659,1354.0,226.0
  I69  ,247.0,167.0,436.0,5933,1375.0,371.0
  K29  ,1377.0,803.0,863.0,4403,730.0,159.0
  N18  ,794.0,600.0,260.0,4510,1351.0,575.0
  F03  ,1.0,46.0,164.0,3300,1624.0,708.0
  M75  ,505.0,261.0,571.0,3685,396.0,100.0
  R42  ,204.0,156.0,378.0,3230,715.0,282.0
  I20  ,92.0,81.0,188.0,3774,520.0,131.0
  L29  ,196.0,119.0,185.0,3487,576.0,135.0
 Z26 ,1677.0,558.0,451.0,1510,182.0,27.0
M48,3.0,14.0,14.0,469,106.0,11.0
K63,12.0,16.0,28.0,376,59.0,1.0
H25,2.0,3.0,17.0,181,33.0,1.0
M96,5.0,3.0,6.0,185,26.0,4.0
M17,5.0,6.0,12.0,152,26.0,1.0
E11,8.0,2.0,9.0,132,38.0,2.0
M51,24.0,11.0,11.0,126,16.0,
M75,11.0,8.0,12.0,89,16.0,1.0
N18,6.0,2.0,3.0,74,35.0,9.0
M43,,4.0,7.0,62,18.0,4.0
K29,5.0,1.0,6.0,62,10.0,5.0
J18,3.0,1.0,1.0,38,23.0,21.0
N40,,2.0,4.0,64,12.0,
C18,2.0,5.0,22.0,24,23.0,1.0
S22,4.0,3.0,3.0,33,19.0,11.0
M54,2.0,,4.0,52,12.0,
S72,,2.0,7.0,25,21.0,13.0
K40,,3.0,5.0,41,11.0,5.0
C34,2.0,,3.0,34,13.0,11.0
K59,2.0,,4.0,36,14.0,7.0
M48,3.0,294.0,173.0,4715,1618.0,230.0
M17,378.0,151.0,350.0,4307,964.0,3.0
M96,76.0,11.0,158.0,3737,486.0,94.0
M75,202.0,150.0,349.0,2325,434.0,8.0
E11,66.0,59.0,211.0,2397,680.0,13.0
I69,117.0,,105.0,1600,1074.0,
M54,32.0,,113.0,2018,519.0,
G82,694.0,70.0,,1350,261.0,
S72,,76.0,144.0,744,702.0,527.0
N18,10.0,2.0,9.0,1518,332.0,261.0
J18,29.0,2.0,6.0,557,712.0,456.0
M51,118.0,18.0,130.0,1100,164.0,
S06,10.0,33.0,73.0,1100,180.0,119.0
K63,30.0,20.0,55.0,1186,139.0,30.0
I63,9.0,67.0,1.0,566,653.0,85.0
C16,127.0,,108.0,374,423.0,299.0
C34,47.0,,30.0,684,275.0,295.0
S22,42.0,41.0,43.0,644,408.0,146.0
C25,105.0,90.0,210.0,360,345.0,95.0
J98,4.0,0.0,0.0,681,383.0,131.0
N40,269.0,632.0,1220.0,19603,4150.0,1381.0
E11,1104.0,1038.0,1424.0,13798,2437.0,354.0
M48,242.0,295.0,661.0,10449,2287.0,490.0
I10,866.0,661.0,1149.0,8650,1921.0,644.0
M54,1102.0,553.0,799.0,9006,1902.0,195.0
K05,1117.0,613.0,1201.0,8708,1509.0,175.0
E86,335.0,421.0,941.0,7261,1858.0,444.0
K63,677.0,649.0,962.0,7893,1003.0,49.0
N18,884.0,655.0,418.0,4529,1702.0,690.0
K29,1370.0,772.0,944.0,4594,793.0,149.0
M17,416.0,361.0,827.0,5409,1424.0,156.0
I69,253.0,112.0,394.0,5860,1513.0,408.0
F03,2.0,15.0,129.0,3213,1733.0,755.0
M75,604.0,350.0,577.0,3551,578.0,68.0
Z29,1068.0,336.0,362.0,2991,519.0,77.0
R42,203.0,164.0,271.0,3031,838.0,290.0
Z26,1585.0,616.0,540.0,1619,232.0,47.0
L29,191.0,135.0,212.0,3186,694.0,158.0
J98,324.0,254.0,302.0,2764,671.0,249.0
I20,110.0,89.0,165.0,3410,566.0,107.0
M48,33.0,37.0,62.0,380,63.0,16.0
N40,10.0,18.0,25.0,408,47.0,7.0
H25,0.0,13.0,30.0,385,47.0,5.0
I20,24.0,12.0,27.0,230,17.0,2.0
I63,7.0,7.0,15.0,175,53.0,14.0
M17,5.0,10.0,14.0,97,21.0,2.0
C61,0.0,5.0,6.0,108,14.0,4.0
R42,20.0,6.0,7.0,74,20.0,2.0
S32,8.0,0.0,5.0,59,42.0,12.0
C18,1.0,18.0,7.0,72,22.0,4.0
C16,8.0,1.0,13.0,64,28.0,6.0
J18,3.0,4.0,3.0,59,29.0,16.0
C34,6.0,3.0,3.0,59,35.0,7.0
M75,10.0,8.0,14.0,78,2.0,1.0
K80,20.0,8.0,3.0,49,21.0,9.0
E11,9.0,6.0,5.0,70,7.0,0.0
C22,6.0,2.0,7.0,64,15.0,2.0
M51,27.0,3.0,10.0,52,2.0,0.0
S72,4.0,3.0,2.0,25,49.0,11.0
A09,15.0,5.0,5.0,36,19.0,4.0
I63,288.0,426.0,631.0,7485,1429.0,330.0
M48,855.0,546.0,948.0,6824,1191.0,220.0
Z49,814.0,219.0,89.0,5825,612.0,0.0
J69,29.0,0.0,20.0,1694,1500.0,1379.0
M17,63.0,237.0,442.0,3040,780.0,28.0
N18,46.0,0.0,241.0,2071,1906.0,66.0
S72,94.0,102.0,52.0,997,2247.0,366.0
L89,184.0,0.0,0.0,1604,954.0,648.0
N40,27.0,55.0,127.0,2518,530.0,94.0
M75,273.0,209.0,558.0,2056,71.0,44.0
J18,12.0,27.0,22.0,1996,543.0,497.0
C34,154.0,27.0,55.0,1444,1220.0,194.0
C16,153.0,13.0,410.0,1541,554.0,308.0
C22,56.0,9.0,78.0,1674,504.0,78.0
C18,5.0,248.0,243.0,1252,338.0,112.0
M51,468.0,26.0,82.0,1527,77.0,0.0
S32,89.0,0.0,121.0,1250,502.0,158.0
K80,192.0,65.0,12.0,1003,494.0,101.0
E11,169.0,93.0,26.0,1458,90.0,0.0
C61,0.0,74.0,54.0,1436,181.0,71.0
N40,655.0,986.0,1491.0,19536,2946.0,1009.0
M48,1481.0,1338.0,1831.0,15448,2137.0,437.0
I10,1861.0,1274.0,2089.0,12218,2329.0,630.0
E11,1541.0,1175.0,1607.0,12499,1707.0,257.0
I20,996.0,787.0,1336.0,11647,1559.0,274.0
E30,15380.0,3.0,0.0,0,0.0,0.0
M17,732.0,953.0,1661.0,9394,1438.0,242.0
Z26,8308.0,1186.0,901.0,2090,914.0,345.0
K05,1061.0,771.0,993.0,9364,850.0,231.0
H25,77.0,282.0,682.0,9375,837.0,176.0
K21,774.0,547.0,712.0,6045,918.0,139.0
I63,575.0,428.0,460.0,4953,1239.0,215.0
M75,893.0,359.0,617.0,3912,294.0,33.0
J44,162.0,156.0,242.0,4556,724.0,260.0
Z49,1169.0,655.0,397.0,3009,589.0,11.0
F00,21.0,41.0,124.0,2314,2600.0,715.0
K02,464.0,228.0,240.0,3813,260.0,26.0
B35,217.0,193.0,270.0,3755,298.0,59.0
J30,636.0,107.0,152.0,2604,288.0,108.0
J00,1691.0,117.0,231.0,1351,253.0,49.0
 N40 ,17.0,33.0,35.0,476,28.0,7.0
 M48 ,24.0,30.0,50.0,273,56.0,6.0
 U07 ,168.0,20.0,21.0,64,25.0,8.0
 I20 ,8.0,11.0,11.0,203,18.0,0.0
 I63 ,11.0,9.0,16.0,144,37.0,12.0
 C61 ,1.0,3.0,9.0,143,25.0,8.0
 M17 ,1.0,9.0,7.0,91,13.0,1.0
 C67 ,3.0,2.0,3.0,68,19.0,6.0
 C18 ,1.0,0.0,1.0,76,11.0,3.0
 C16 ,21.0,3.0,4.0,49,7.0,6.0
 K80 ,8.0,4.0,7.0,47,14.0,9.0
 C34 ,7.0,5.0,7.0,47,16.0,6.0
 C22 ,4.0,3.0,3.0,51,18.0,2.0
 R42 ,12.0,3.0,3.0,44,12.0,3.0
 K81 ,2.0,5.0,4.0,39,14.0,5.0
 K40 ,3.0,1.0,7.0,42,6.0,6.0
 E11 ,2.0,4.0,3.0,50,3.0,1.0
 Z49 ,6.0,2.0,2.0,38,13.0,0.0
 C25 ,3.0,1.0,2.0,29,22.0,0.0
 M75 ,3.0,8.0,7.0,36,3.0,0.0
 I63 ,403.0,332.0,516.0,6024,1397.0,367.0
 M48 ,281.0,703.0,835.0,4972,1068.0,168.0
 Z49 ,317.0,33.0,72.0,6563,921.0,0.0
 M17 ,35.0,246.0,188.0,2424,408.0,111.0
 N40 ,74.0,116.0,159.0,2541,171.0,95.0
 C61 ,4.0,42.0,119.0,2213,369.0,280.0
 C16 ,277.0,212.0,221.0,2015,138.0,148.0
 U07 ,1039.0,130.0,139.0,697,686.0,109.0
 L89 ,0.0,0.0,0.0,714,1788.0,99.0
 G81 ,0.0,181.0,283.0,1491,620.0,0.0
 C34 ,211.0,160.0,57.0,1319,482.0,204.0
 C18 ,140.0,0.0,13.0,1633,434.0,169.0
 G20 ,211.0,91.0,31.0,1792,254.0,0.0
