상병코드,59이하,60-64,65-69,70-79,80-89,90이상
 I20 ,352.0,459.0,1023.0,18880,4227.0,1192.0
 M48 ,603.0,537.0,1489.0,16480,4291.0,1147.0
 I63 ,290.0,342.0,962.0,14515,4265.0,1708.0
 N18 ,1023.0,557.0,946.0,12364,4059.0,1427.0
 M51 ,1452.0,403.0,996.0,13045,3429.0,381.0
 H35 ,192.0,269.0,659.0,12405,3078.0,1041.0
 Z11 ,6680.0,1496.0,1996.0,6115,925.0,125.0
 R42 ,657.0,515.0,1122.0,10448,3136.0,932.0
 G81 ,2324.0,668.0,1455.0,10994,1558.0,314.0
 R52 ,2668.0,1055.0,1058.0,9163,1480.0,599.0
 C61 ,19.0,71.0,277.0,12188,2815.0,686.0
 H42 ,366.0,372.0,767.0,9809,2523.0,625.0
 K02 ,1871.0,515.0,1109.0,8916,1662.0,250.0
K04,1084.0,557.0,911.0,9913,1431.0,198.0
 H25 ,15.0,44.0,62.0,920,282.0,33.0
 Z51 ,34.0,38.0,79.0,512,142.0,59.0
 I25 ,18.0,10.0,20.0,381,92.0,13.0
 M17 ,15.0,10.0,35.0,316,74.0,2.0
 C34 ,11.0,5.0,12.0,319,68.0,22.0
 C61 ,1.0,4.0,12.0,324,37.0,15.0
 M48 ,8.0,9.0,19.0,267,75.0,10.0
 I63 ,9.0,14.0,12.0,193,67.0,33.0
 Z04 ,,,,259,66.0,1.0
 J18 ,4.0,2.0,6.0,135,80.0,76.0
 K80 ,12.0,11.0,15.0,163,68.0,27.0
 I50 ,4.0,3.0,5.0,115,92.0,58.0
 M75 ,14.0,12.0,14.0,200,14.0,
 I65 ,1.0,1.0,4.0,183,42.0,2.0
 E11 ,12.0,5.0,3.0,158,34.0,14.0
 K40 ,4.0,4.0,6.0,149,50.0,12.0
 N18 ,13.0,7.0,3.0,122,43.0,15.0
 I20 ,7.0,2.0,9.0,115,58.0,2.0
 C22 ,6.0,5.0,5.0,118,40.0,12.0
 C16 ,7.0,2.0,4.0,111,48.0,11.0
 G81 ,1985.0,89.0,1499.0,8214,3792.0,1365.0
 M17 ,320.0,256.0,808.0,7434,1757.0,39.0
 G82 ,2155.0,435.0,497.0,5324,1509.0,651.0
 Z51 ,317.0,846.0,879.0,4611,2183.0,1454.0
 F20 ,3869.0,805.0,1668.0,1818,417.0,
