주상병코드,입원외래구분,환자수,보험자부담금(선별포함),요양급여비용총액(선별포함),평균보험자부담금,평균요양급여비용총액
A46,외래,2332.0,89060400.0,159876710.0,38190.56603773585,68557.76586620926
A46,입원,208.0,261424460.0,347026470.0,1256848.3653846155,1668396.4903846155
A48,외래,20157.0,975242680.0,1405850330.0,48382.33268839609,69745.01810785335
A48,입원,217.0,1180197370.0,1489269490.0,5438697.557603687,6862993.041474654
A49,외래,111704.0,5816198690.0,8612853530.0,52067.953609539494,77104.2534734656
A49,입원,4625.0,15972461470.0,19746135600.0,3453505.1827027025,4269434.724324324
A50,외래,144.0,12537830.0,19598470.0,87068.26388888889,136100.48611111112
A50,입원,22.0,153463900.0,154476160.0,6975631.818181818,7021643.636363637
A51,외래,5116.0,496937380.0,805292700.0,97133.96794370603,157406.70445660673
A51,입원,213.0,125789160.0,165683930.0,590559.4366197183,777858.8262910799
A52,외래,1984.0,114552750.0,232310800.0,57738.28125,117092.1370967742
A52,입원,85.0,393437110.0,478844470.0,4628671.882352941,5633464.352941177
A53,외래,11078.0,686169140.0,1253027920.0,61939.80321357646,113109.57934645243
A53,입원,181.0,97975450.0,128282360.0,541300.8287292818,708742.320441989
A54,외래,7973.0,578841850.0,847791870.0,72600.25711777247,106332.85714285714
A54,입원,63.0,89738000.0,118178900.0,1424412.6984126985,1875855.5555555555
A55,외래,109.0,7510640.0,12465600.0,68904.95412844037,114363.30275229357
A55,입원,1.0,1868350.0,2577190.0,1868350.0,2577190.0
A56,외래,29306.0,1501101480.0,2197734880.0,51221.643349484744,74992.65952364703
A56,입원,29.0,38664210.0,49288750.0,1333248.6206896552,1699612.0689655172
A57,외래,136.0,8159350.0,12798870.0,59995.220588235294,94109.33823529411
A57,입원,2.0,1212510.0,1469850.0,606255.0,734925.0
A58,외래,95.0,5039770.0,9448780.0,53050.21052631579,99460.84210526316
A58,입원,8.0,6741760.0,8831470.0,842720.0,1103933.75
A59,외래,63132.0,3387440460.0,4995252460.0,53656.47310397263,79123.93809795349
A59,입원,11.0,4482600.0,5917710.0,407509.0909090909,537973.6363636364
A60,외래,141329.0,6426734980.0,9138206490.0,45473.57569925493,64659.10386403357
A60,입원,57.0,46449120.0,60769920.0,814896.8421052631,1066138.9473684211
A63,외래,181602.0,20179964060.0,29273271740.0,111121.92630037114,161194.65501481263
A63,입원,1226.0,734267810.0,961858760.0,598913.3849918434,784550.3752039152
A64,외래,36917.0,3880003420.0,5651355500.0,105100.72378578974,153082.73965923558
