시도,10만명당_보훈대상자수
강원특별자치도,2750.358092090612
경기도,1545.577718655084
경상남도,1904.7324044876998
경상북도,2191.291404227885
광주광역시,1800.6676976076772
대구광역시,1947.8945299791128
대전광역시,1834.268255652441
부산광역시,1992.1643250868335
서울특별시,1571.9642496625527
세종특별자치시,1686.5249497677155
울산광역시,1447.1121051974912
인천광역시,1470.4684857051118
전라남도,2066.2235810330726
전북특별자치도,1871.9265654026883
제주특별자치도,1851.6695307651917
충청남도,1677.9666887269059
충청북도,1757.8182691177662
