주상병코드,환자수,보험자부담금(선별포함),요양급여비용총액(선별포함),평균보험자부담금,평균요양급여비용총액
C04,660.0,3246566140.0,3598867970.0,4919039.606060606,5452830.257575758
C05,1008.0,3809129330.0,4187046900.0,3778898.14484127,4153816.369047619
C06,3388.0,17054543000.0,18852342800.0,5033808.441558441,5564445.926800473
C07,3253.0,10862684710.0,12069939840.0,3339282.111896711,3710402.656009837
C08,2456.0,7634223960.0,8467437500.0,3108397.377850163,3447653.7052117265
C09,4668.0,20123177520.0,22015282430.0,4310877.789203085,4716213.031276778
C10,1741.0,7915264110.0,8639828320.0,4546389.494543366,4962566.52498564
C11,3980.0,17316268250.0,18939823940.0,4350821.168341708,4758749.733668341
C12,600.0,3484701880.0,3798466720.0,5807836.466666667,6330777.866666666
C13,2728.0,18455091490.0,20185878780.0,6765062.862903226,7399515.681818182
C14,188.0,570110800.0,635868420.0,3032504.255319149,3382278.829787234
C15,17042.0,105200929650.0,115413501540.0,6173038.942025584,6772297.942729726
C16,196673.0,524620874310.0,589813291700.0,2667477.865848388,2998954.0592760574
C17,7472.0,27811453750.0,31163951450.0,3722089.634635974,4170764.380353319
C18,112622.0,433168095150.0,483147603500.0,3846212.0646942873,4289993.105254746
C19,17808.0,65372964510.0,72798664450.0,3670988.5731132077,4087975.3172731358
C20,76314.0,280098390820.0,311187718020.0,3670340.83942658,4077727.7828445635
C21,2638.0,11019278370.0,12074046300.0,4177133.5746777863,4576969.787717968
C22,109035.0,614034442260.0,680750956280.0,5631535.215848122,6243416.850369148
C23,13150.0,67521909150.0,75264457050.0,5134745.942965779,5723532.855513308
C24,24984.0,184820759660.0,204404798610.0,7397564.827889849,8181428.058357349
C25,41123.0,329981016390.0,364288133300.0,8024244.738710697,8858500.919193638
C26,1205.0,2150248610.0,2428737770.0,1784438.6804979253,2015550.0165975103
C30,1844.0,8742062990.0,9595007190.0,4740815.070498915,5203366.155097614
C31,1402.0,7469189800.0,8231454510.0,5327524.82168331,5871222.9029957205
C32,9776.0,35286181570.0,38596977920.0,3609470.291530278,3948136.0392798693
C33,305.0,1417275360.0,1547887870.0,4646804.459016394,5075042.196721312
C34,169432.0,1046603000000.0,1146741000000.0,6177127.107039993,6768148.873884508
C37,7571.0,22903802770.0,25538098250.0,3025201.7923656055,3373147.3055078587
C38,1518.0,6200488270.0,7046596690.0,4084643.1291172598,4642026.805006588
C39,164.0,168707260.0,189667310.0,1028702.8048780488,1156507.987804878
C40,1921.0,7863203930.0,8887240570.0,4093286.7933368036,4626361.566892244
C41,4260.0,19736725300.0,22158466600.0,4633034.107981221,5201517.981220657
C43,6679.0,33139860800.0,36191025650.0,4961799.790387782,5418629.383141189
C44,29960.0,39561823020.0,44053678450.0,1320488.0847797063,1470416.503671562
C45,931.0,6788446380.0,7467084520.0,7291564.317937701,8020498.947368421
C46,518.0,1105735040.0,1207215860.0,2134623.6293436293,2330532.548262548
C47,573.0,2482977700.0,2772169670.0,4333294.415357766,4837992.443280977
C48,3972.0,21613695490.0,24162342140.0,5441514.473816717,6083167.708962739
C49,12163.0,54100605830.0,60329375980.0,4447965.619501768,4960073.664392008
C50,301317.0,1186540941040.0,1345887933160.0,3937849.311655167,4466684.366165865
C51,1133.0,4291255940.0,4798805930.0,3787516.27537511,4235486.257722859
C52,599.0,2469126150.0,2709423670.0,4122080.383973289,4523244.858096828
C53,29838.0,98466023460.0,109658435460.0,3300020.8948320933,3675126.8670822443
C54,29968.0,81833828750.0,92767662820.0,2730707.0458489056,3095557.355178857
C55,2080.0,7063017480.0,7984217910.0,3395681.480769231,3838566.3028846155
C56,32906.0,161270771370.0,181846099050.0,4900953.363216435,5526229.230231569
C57,1956.0,9137644700.0,10290862260.0,4671597.494887525,5261177.024539878
C58,296.0,463240710.0,540330760.0,1565002.3986486488,1825441.7567567567
C60,422.0,1048464880.0,1171001060.0,2484513.933649289,2774884.028436019
C61,158778.0,356358000000.0,391927000000.0,2244378.9441862223,2468396.125407802
C62,2922.0,4336262680.0,4932411020.0,1484005.0239561943,1688025.6741957564
C63,389.0,768204270.0,878359870.0,1974818.1748071979,2257994.5244215936
C64,51889.0,130767975710.0,146474038110.0,2520148.311010041,2822834.090269614
C65,5797.0,22211757820.0,24600224570.0,3831595.276867345,4243613.001552527
C66,7068.0,30285023410.0,33399474940.0,4284808.065930956,4725449.199207697
C67,58292.0,169649345070.0,188511796030.0,2910336.6683249846,3233922.2539971177
C68,743.0,2798336280.0,3115435660.0,3766266.864064603,4193049.3405114403
C69,1622.0,4833665310.0,5354511550.0,2980064.9260172625,3301178.5141800246
C70,786.0,4635281300.0,5086515860.0,5897304.452926208,6471394.223918575
C71,15853.0,127453480020.0,141448099870.0,8039707.31218066,8922481.541033244
C72,1599.0,4644509570.0,5217361470.0,2904633.87742339,3262890.225140713
C73,447077.0,273435536490.0,340519192840.0,611607.2544326816,761656.7008367686
C74,3319.0,12306342820.0,14048629810.0,3707846.586321181,4232789.939740886
C75,1659.0,4685029810.0,5286003560.0,2824008.324291742,3186258.9270644966
C76,1798.0,4269789710.0,4827253690.0,2374743.998887653,2684790.706340378
C77,12738.0,34279314410.0,38345525780.0,2691106.4853195166,3010325.465536191
C78,19727.0,74827634370.0,84192269870.0,3793158.329700411,4267869.917879049
C79,27662.0,124193526380.0,136171233280.0,4489679.935651797,4922682.137227966
C80,4931.0,15883354840.0,17764875260.0,3221122.457919286,3602692.20442101
C81,2983.0,17233213660.0,18650910850.0,5777141.689574254,6252400.553134428
C82,6527.0,28649531580.0,31340125000.0,4389387.4030948365,4801612.53255707
C83,22688.0,219266076810.0,237683183820.0,9664407.47575811,10476162.897566997
C84,3362.0,26722712180.0,29328786800.0,7948456.9244497325,8723612.968471149
C85,12243.0,40870337670.0,45601825280.0,3338261.6736094095,3724726.397124888
C86,2527.0,23793945970.0,25962118830.0,9415886.810447171,10273889.52512861
C88,10585.0,19892264360.0,21822669910.0,1879288.0831365138,2061659.8875767596
C90,15529.0,247828102320.0,265476680690.0,15959050.957563268,17095542.577757742
C91,10345.0,133030153490.0,145410880630.0,12859367.18124698,14056150.858385693
C92,21945.0,272348411600.0,296998786900.0,12410499.503303714,13533779.307359308
C93,871.0,11006476420.0,11994706720.0,12636597.497129736,13771190.264064293
C94,578.0,3880890120.0,4251139330.0,6714342.76816609,7354912.335640138
C95,1774.0,11872036010.0,13098220710.0,6692241.2683201805,7383438.957158963
C96,1834.0,3536195780.0,3992860200.0,1928132.9225736095,2177132.0610687025
C97,44.0,275043450.0,303836200.0,6250987.5,6905368.181818182
D00,12417.0,12991118020.0,14459985440.0,1046236.4516388822,1164531.3231859547
D01,31571.0,32225100810.0,35955571200.0,1020718.4064489563,1138879.7060593583
D02,1406.0,2436348470.0,2714346340.0,1732822.5248933143,1930545.0497866287
D03,1679.0,1128870380.0,1290796650.0,672346.8612269207,768788.9517569982
D04,6146.0,4288423370.0,4795629360.0,697758.4396355354,780284.633908233
D05,60716.0,138291659230.0,162281480970.0,2277680.664569471,2672795.984089861
D06,53900.0,28960419240.0,33598994030.0,537299.0582560297,623357.9597402597
D07,6840.0,6215450360.0,7309746210.0,908691.5730994152,1068676.346491228
D09,10908.0,16643574340.0,18726934270.0,1525813.562522919,1716807.3221488816
D10,40153.0,5643007500.0,9156615350.0,140537.63106119094,228043.11882051153
D11,19686.0,12790882000.0,20138137680.0,649745.0980392157,1022967.4733313015
D12,560751.0,133494017800.0,204827166000.0,238062.91526898748,365272.939326011
D13,220906.0,76530174210.0,120065677790.0,346437.73464731604,543514.7881451839
D14,32389.0,7692662600.0,11969178860.0,237508.49362437864,369544.563277656
D15,7282.0,9285331620.0,11297734100.0,1275107.3358967316,1551460.3268332875
D16,31203.0,9049750300.0,13595078520.0,290028.2120308945,435697.8021344101
D17,185485.0,39477700460.0,58294261240.0,212835.00261476668,314280.1910666631
D18,105159.0,20018952070.0,32700071310.0,190368.41421086164,310958.37075286
D19,475.0,105279000.0,155819490.0,221640.0,328041.0315789474
D20,1830.0,1290857270.0,2032053660.0,705386.4863387978,1110411.8360655739
D21,128156.0,25273079890.0,37734386980.0,197205.59232497893,294441.0482536908
D22,41898.0,3254386960.0,5478753680.0,77674.04076566901,130764.08611389565
D23,492121.0,45993708900.0,70159666330.0,93460.16304933136,142565.8858898523
D24,418981.0,55968914060.0,94528751710.0,133583.4180070218,225615.84346306874
D25,672266.0,228417453720.0,351520000000.0,339772.4319242681,522888.2614917309
D26,4838.0,1413088870.0,2073589770.0,292081.20504340634,428604.74782968167
D27,169833.0,72887134250.0,110729321690.0,429169.44439537666,651989.4348565944
D28,14381.0,3697421670.0,5490305420.0,257104.62902440722,381774.94054655446
D29,21196.0,4106996280.0,6086609960.0,193762.79864125306,287158.424230987
D30,32187.0,9586101430.0,16114310640.0,297825.253363159,500646.5541989002
D31,15714.0,2540747540.0,3996672880.0,161686.87412498408,254338.35306096476
D32,48964.0,89475263900.0,99641430240.0,1827368.3502164856,2034993.6737194674
D33,28531.0,40370947370.0,45678489450.0,1414985.3622375662,1601012.5635273913
D34,176323.0,18236660820.0,31742211050.0,103427.5779109929,180023.08859309336
D35,81879.0,56758748730.0,75461916510.0,693202.7593155755,921627.2366540871
D36,29741.0,7662852500.0,11641492710.0,257652.81934030462,391429.0948522242
D37,40752.0,21532119480.0,28040341870.0,528369.6378091873,688072.778513938
D38,10458.0,5377076920.0,6823003560.0,514159.20061197167,652419.5410212277
D39,16020.0,8548031720.0,10668656850.0,533585.0012484394,665958.6048689139
D40,1573.0,471132710.0,634911800.0,299512.2123331214,403631.1506675143
D41,9091.0,4661800690.0,6204799320.0,512792.9479705203,682521.0999890001
D42,3174.0,10331405590.0,11300224830.0,3255011.2129804664,3560247.268431002
D43,14787.0,32547441460.0,37220429000.0,2201084.835328329,2517104.821802935
D44,23139.0,12718835220.0,15806963940.0,549670.9114482043,683130.8155062881
D45,5373.0,4067362330.0,4659684000.0,757000.2475339661,867240.6476828587
D46,10549.0,90963675110.0,99213699440.0,8622966.642335767,9405033.599393308
D47,22377.0,43345398240.0,48326171140.0,1937051.3580908969,2159635.8376904856
D48,22568.0,14011201170.0,17041245260.0,620843.7242998936,755106.5783410139
D50,367477.0,26165456720.0,37525544810.0,71202.97792787032,102116.71699181173
D51,5742.0,511851810.0,843850370.0,89141.72936259143,146961.05363984674
D52,3371.0,277232600.0,392071960.0,82240.46277069119,116307.31533669535
D53,6299.0,892559180.0,1436297030.0,141698.5521511351,228019.8491824099
D55,202.0,51767460.0,64612850.0,256274.55445544556,319865.59405940596
D56,378.0,116372210.0,149153540.0,307862.9894179894,394586.08465608465
D57,20.0,10564310.0,18923160.0,528215.5,946158.0
D58,1303.0,652931120.0,952585840.0,501098.3269378358,731071.2509593247
D59,2764.0,39689426250.0,44622919120.0,14359416.154124457,16144326.743849494
D60,411.0,938945990.0,1141255110.0,2284540.121654501,2776776.423357664
D61,11167.0,33644361920.0,39041261570.0,3012837.9976717113,3496128.0173726156
D62,1061.0,288736690.0,387673070.0,272136.3713477851,365384.60885956645
D63,3437.0,997182200.0,1398777710.0,290131.5682281059,406976.3485597905
D64,180704.0,27084941520.0,41669635710.0,149885.67779351867,230596.08923986187
D65,350.0,2586552590.0,3141607050.0,7390150.257142857,8976020.142857144
D66,1771.0,157423430580.0,174296967470.0,88889571.19141728,98417260.00564653
D67,424.0,55817289760.0,61741205420.0,131644551.32075472,145616050.5188679
D68,8912.0,9073425430.0,10840959970.0,1018113.2663824058,1216445.2390035908
D69,63326.0,23819064560.0,34013658540.0,376134.045415785,537119.9592584404
D70,19748.0,17018992100.0,19937170760.0,861808.3907231112,1009579.2363783674
D71,117.0,474094120.0,530896630.0,4052086.4957264955,4537578.034188034
D72,21157.0,3373127080.0,5892300670.0,159433.14647634354,278503.6002268753
D73,3759.0,1739905850.0,2574998710.0,462864.01968608674,685022.2692205374
D74,47.0,95389700.0,126128580.0,2029568.085106383,2683586.8085106383
D75,13428.0,2707718070.0,5180343170.0,201647.16041108134,385786.6525171284
D76,1682.0,7150125820.0,8236503960.0,4250966.599286564,4896851.343638525
D77,1234.0,191905580.0,448188070.0,155515.05672609402,363199.4084278768
D80,827.0,1570594610.0,1773110160.0,1899147.0495767836,2144026.7956469166
D81,345.0,220273340.0,257206520.0,638473.4492753623,745526.1449275363
D82,449.0,1039247830.0,1167680610.0,2314583.140311804,2600624.966592428
D83,56.0,411952260.0,471386110.0,7356290.357142857,8417609.107142856
D84,1457.0,1276476580.0,1462704610.0,876099.231297186,1003915.3122855182
D86,4316.0,3135047860.0,3750456520.0,726378.0954587581,868965.8294717331
D89,3296.0,2386445920.0,3142453740.0,724043.0582524271,953414.3628640777
E00,85.0,3404820.0,5440860.0,40056.705882352944,64010.117647058825
E01,231.0,23663210.0,36601550.0,102438.13852813853,158448.2683982684
E02,9051.0,868001800.0,1585559690.0,95901.20428681913,175180.60877251133
E03,630338.0,70769234960.0,113378059890.0,112271.8842271924,179868.6734577322
E04,515609.0,47603213380.0,86566570160.0,92324.24837425258,167891.89125868634
E05,259768.0,44757005390.0,79630800390.0,172296.06953127406,306545.8424055311
E06,131997.0,13523825550.0,23257173370.0,102455.55239891815,176194.71177375244
E07,194401.0,14837146250.0,23229793420.0,76322.37617090448,119494.20743720455
E10,50844.0,15981060690.0,24352890140.0,314315.56702855794,478972.74289985053
E11,3527702.0,678075566720.0,984698489170.0,192214.52569406372,279133.12665582297
E12,1511.0,484575770.0,679352060.0,320698.72270019853,449604.2753143613
E13,72638.0,11585517610.0,16107203020.0,159496.64927448443,221746.23502849747
E14,464351.0,102748118040.0,150673910810.0,221272.5245342424,324482.7960099149
E15,497.0,662778210.0,858104260.0,1333557.7665995976,1726567.9275653923
E16,25711.0,9584325980.0,12822323920.0,372771.42001477967,498709.6542335965
E20,2683.0,368824920.0,622890450.0,137467.3574357063,232161.9269474469
E21,8492.0,3314959820.0,5568167530.0,390362.67310409795,655695.6582666038
E22,88447.0,42676052440.0,76219362340.0,482504.23914886883,861751.8100105148
E23,41716.0,30939042660.0,57414626070.0,741658.8997027519,1376321.461070093
E24,5158.0,2292130860.0,3398405110.0,444383.64870104694,658861.0139588988
E25,1330.0,685521750.0,778110160.0,515429.8872180451,585045.2330827068
E26,4765.0,2102565810.0,3359917460.0,441252.00629590766,705124.3357817419
E27,30392.0,9079360090.0,13667870510.0,298741.777112398,449719.3508160042
E28,84805.0,8992788720.0,14892073820.0,106040.78438771299,175603.72407287307
E29,8670.0,704855520.0,1273114890.0,81298.21453287198,146841.39446366782
E30,201361.0,61957654300.0,108649754480.0,307694.411032921,539576.9512467658
E31,36.0,131124000.0,153509160.0,3642333.3333333335,4264143.333333333
E32,2687.0,1024813210.0,1541842730.0,381396.803126163,573815.6791961296
E34,60320.0,13015921260.0,23106863070.0,215781.18799734747,383071.337367374
E35,2020.0,154245060.0,271982230.0,76358.9405940594,134644.6683168317
E40,12.0,1218010.0,1688300.0,101500.83333333333,140691.66666666666
E41,6682.0,411929350.0,536155930.0,61647.61299012272,80238.84016761449
E42,40.0,2323060.0,3915310.0,58076.5,97882.75
E43,386.0,325988020.0,410721670.0,844528.549222798,1064045.7772020726
E44,2512.0,369184870.0,464665340.0,146968.49920382164,184978.24044585988
E45,108.0,9825080.0,13153530.0,90972.96296296296,121791.94444444444
E46,6999.0,820037660.0,1064915600.0,117164.97499642806,152152.53607658236
E50,51256.0,1132275650.0,1632722760.0,22090.597198376774,31854.275792102388
E51,1640.0,3641794310.0,4898941100.0,2220606.286585366,2987159.2073170734
E52,7.0,2787830.0,3823530.0,398261.4285714286,546218.5714285715
E53,9725.0,586519290.0,886260430.0,60310.466838046275,91132.17789203084
