연령대,sum,mean,std
59세 이하,675284,1164.2827586206897,1859.26058790219
60대,778738,1342.651724137931,1150.5331614185627
70대,4932038,8503.513793103448,7629.237830913284
80대,1193503,2057.7637931034483,2023.8868155630928
90세 이상,341968,589.6,588.251504728376
