,총_현재_진료비(천원),총_최적_진료비(천원),총_변화량(천원),평균_변화율(%),총_현재_진료비,총_최적_진료비,총_변화량,평균_변화율,최적화_상태,목적함수_값,추정_완료_수,추정_실패_수,최적화_성공,반복횟수,최고_적합도
PuLP,242541286027.43604,266795414598.2292,24254128570.79316,28.22192138888889,242541286027.43604,266795414598.2292,24254128570.79316,28.22192138888889,Optimal,1005154.1218708076,200,0,,,
SLSQP,242541286027.43604,269175475029.18613,26634189001.750103,28.308601650933703,242541286027.43604,269175475029.18613,26634189001.75011,28.308601650933703,,1006025.7140100284,200,0,False,9,
GA,242541286027.43604,280258849202.14294,37717563174.70693,0.2310455541527353,242541286027.43604,280258849202.14294,37717563174.70694,0.2310455541527353,,,200.0,0.0,,,-10000000000.0
