,최적화_전_가동률_표준편차,최적화_후_가동률_표준편차,최적화_전_가동률_평균,최적화_후_가동률_평균,총_변화량,평균_변화율(%)
PuLP,12.46175048755245,3.6030456838956058,58.60668380355915,62.03337329588752,0.0,-4.861355820913443
SLSQP,12.46175048755245,4.934190296619524e-06,58.60668380355915,61.335587316688446,-8.526512829121202e-14,-4.476848469486769
GA,12.46175048755245,18.998507439330353,58.60668380355915,57.39313570599989,-0.9660194249292431,6.562491943707397
