년도,sum,mean,std
2019,40699,22.107007061379687,65.1531386661327
2020,36815,20.647784632641617,61.77847180387941
2021,36132,21.068221574344022,64.8289330389658
2022,33482,19.68371546149324,58.71255922822988
2023,38280,19.671120246659815,61.759594935194585
