"년도","구분","자연인","연인원"
"2019","국비","1","0"
"2020","감면","3","0"
"2020","국비","35","0"
"2021","감면","52984","569544"
"2021","국비","45492","731371"
"2021","일반","25866","123391"
"2022","국비","1","0"
