iter	MultiClass
0	1.169292928
1	0.9915215226
2	0.8578747458
3	0.7557725108
4	0.6686139188
5	0.5967542519
6	0.5378295783
7	0.4854946718
8	0.4313583831
9	0.3978708224
10	0.3586564986
11	0.3321298855
12	0.3018969678
13	0.2768609521
14	0.2558898178
15	0.2321629128
16	0.2149619998
17	0.1954975017
18	0.1793298478
19	0.1658335179
20	0.1553252388
21	0.1429024573
22	0.1297618207
23	0.1189515774
24	0.1093798113
25	0.1041440434
26	0.09623195673
27	0.08812991364
28	0.0830274276
29	0.07994941752
30	0.07516628259
31	0.07095181681
32	0.06726722385
33	0.06149405358
34	0.05689776035
35	0.05609319295
36	0.05340961345
37	0.05005183876
38	0.04739636412
39	0.04552116722
40	0.04306903627
41	0.04043667861
42	0.03742853765
43	0.03654976355
44	0.03551951411
45	0.03368334937
46	0.03333078885
47	0.03187787419
48	0.02979600772
49	0.02955722397
50	0.028914679
51	0.02732082577
52	0.02670322342
53	0.02574943527
54	0.02518468931
55	0.02407424686
56	0.02366936049
57	0.02239706871
58	0.02104831492
59	0.02048581653
60	0.01983160225
61	0.01937450727
62	0.01840767181
63	0.01786633854
64	0.01728931366
65	0.01694810799
66	0.01664427138
67	0.0165731725
68	0.01565022409
69	0.015293058
70	0.01431576537
71	0.01390311438
72	0.01348463033
73	0.01340997964
74	0.01267724488
75	0.01261474117
76	0.01225884975
77	0.01201925083
78	0.01162948237
79	0.0112769101
80	0.01081836564
81	0.01021123876
82	0.01005259917
83	0.009676565254
84	0.009506943791
85	0.009302207597
86	0.008938304361
87	0.008785570025
88	0.008409488147
89	0.00817934181
90	0.008041937425
91	0.007656231309
92	0.007334945788
93	0.007027410634
94	0.006930376671
95	0.006760381531
96	0.006488528794
97	0.006282410032
98	0.006013037217
99	0.005840829905
