,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
ElasticNet,0.9998481557621501,0.0002620188505976951,0.05942136195338783,0.09824377768647308,0.02264201551112431,0.03183296436444305
XGBoost,0.8615714907646179,0.21430340714897367,1.8098264053690278,2.8041559418096087,0.46103722378611567,0.6352712388945168
RandomForest,0.7025075103720939,0.25363306836448335,2.401952988680019,3.1107000986618707,0.9473736045443151,0.7542090240561237
CatBoost,0.6127278578548315,0.30406976863282875,2.671341194528219,3.000419798859541,0.8298404092726426,0.6281735993484053
GradientBoosting,0.6112395330540082,0.49400668703192757,2.4200814583968806,2.9134299478483014,0.5814139037519748,0.654283756887227
KNN,0.11807732048390991,0.12590423366456935,3.552149273233307,2.858188843463987,1.7265650636179655,0.7524065942624595
SVR,0.03770496547536406,0.13402391648873369,3.7754209546743964,3.163318085328896,1.7403758569004175,0.8312548063866192
LightGBM,-0.3756347244379855,1.0563995132763693,3.5547096467216734,2.689908174843777,1.6388721529386505,0.59495044804354
