day,veteran_patients,general_patients,total_patients,occupied_beds,bed_utilization_rate,veteran_revenue,general_revenue,total_revenue,doctor_efficiency,specialization_effect
148,85,35,120,169,0.8491345491972757,4957826.638896596,3084023.6182050765,8041850.257101672,0.04472916666666667,1.2441
149,67,37,104,153,0.7687590711152161,3358740.5018206295,3113227.070058861,6471967.57187949,0.05163461538461539,1.2444
150,83,35,118,152,0.7622308533823339,3896220.1117583415,2406134.892882498,6302355.00464084,0.04552966101694915,1.2447
151,74,41,115,150,0.7512063373511334,4089847.464744901,2968597.1644631224,7058444.629208023,0.0467391304347826,1.2449999999999999
152,86,34,120,161,0.8092418061847437,3930906.154522078,2910484.2871992458,6841390.441721324,0.0448125,1.2452999999999999
153,84,35,119,180,0.9,4159654.8421156467,3121796.531359989,7281451.373475635,0.04521008403361345,1.2456
154,81,36,117,177,0.8885400317817755,3796078.3415959543,3401985.184703116,7198063.526299071,0.0460042735042735,1.2459
155,80,40,120,166,0.8316203869527761,4389021.779850692,3398979.1879095025,7788000.967760194,0.044875000000000005,1.2462
156,70,36,106,157,0.7876240682224248,3473948.299814984,3058753.564094595,6532701.86390958,0.0508254716981132,1.2465
157,78,42,120,163,0.8190098925502982,4138128.440660691,3548089.5905048293,7686218.03116552,0.044916666666666674,1.2468
158,89,31,120,164,0.8229590039614219,4418776.258400902,2068081.688488034,6486857.946888937,0.044937500000000005,1.2470999999999999
159,85,35,120,162,0.8135789418597688,3707381.8552763686,2497304.1686856863,6204686.023962054,0.044958333333333336,1.2473999999999998
160,83,37,120,166,0.8340750348686312,4161752.1260941406,2968807.81729074,7130559.94338488,0.04497916666666667,1.2477
161,80,40,120,160,0.8048060388470493,3815089.8845179826,3060961.207221659,6876051.0917396415,0.045000000000000005,1.248
162,85,35,120,155,0.7760625689168262,4783696.353368747,2549509.955378539,7333206.308747286,0.045020833333333336,1.2483
163,81,39,120,174,0.8723488942176867,4129604.6844871873,3441935.496314214,7571540.180801401,0.04504166666666667,1.2486
164,74,31,105,168,0.8444815397811719,3730445.076031907,2744239.1330162073,6474684.209048115,0.05149999999999999,1.2489
165,87,30,117,180,0.9,4192165.2262087483,2293079.394863815,6485244.621072563,0.04623931623931624,1.2491999999999999
166,90,30,120,154,0.7738569986423366,4310915.932306864,2332371.693873478,6643287.626180342,0.045104166666666674,1.2495
167,69,37,106,149,0.7497929616623966,3185109.840039076,2949733.273333513,6134843.1133725885,0.051084905660377364,1.2498
168,90,30,120,150,0.7500822979630605,4942945.079314463,2348642.677385878,7291587.756700341,0.045145833333333336,1.2501
169,88,32,120,148,0.7438638989218851,4568260.288320982,2602611.765302542,7170872.053623524,0.045166666666666674,1.2504
170,85,35,120,180,0.9,3978960.506693191,2651320.852599491,6630281.359292682,0.045187500000000005,1.2507
171,76,38,114,153,0.7681306436346742,4251826.281820869,3471833.291388916,7723659.573209785,0.04758771929824561,1.251
172,75,39,114,164,0.8235707778193202,3542916.358394636,3317474.7271397193,6860391.085534355,0.04760964912280701,1.2512999999999999
173,78,42,120,175,0.8773752600665031,4600392.292507254,3154102.9999972465,7754495.292504501,0.045250000000000005,1.2516
174,82,34,116,163,0.8167228394993513,4370003.15179586,3266775.634544447,7636778.786340307,0.04683189655172414,1.2519
175,77,41,118,146,0.7310340385992736,3568591.934622361,3269134.3528973944,6837726.287519755,0.0460593220338983,1.2522
176,80,40,120,162,0.811189397581945,3993430.8415708994,3580285.847503387,7573716.689074286,0.0453125,1.2525
177,80,40,120,155,0.7755280278740889,4417664.350827629,3418205.27668042,7835869.627508049,0.045333333333333344,1.2528
178,87,33,120,156,0.782035395460647,4606934.851351155,2932697.7452738876,7539632.596625043,0.045354166666666675,1.2530999999999999
179,87,33,120,170,0.8533337344794577,4858643.581843868,3004889.9736339073,7863533.555477776,0.045375000000000006,1.2533999999999998
180,82,38,120,161,0.8073356843216661,4594668.676268426,2791651.5560198803,7386320.232288307,0.04539583333333334,1.2537
181,81,39,120,160,0.8014372411467409,4567773.004355956,3179622.90922221,7747395.913578166,0.045416666666666675,1.254
182,77,42,119,167,0.8373126783013611,4098511.4097393136,4086853.5870306347,8185364.996769948,0.045819327731092444,1.2543
183,81,33,114,162,0.8124691841855378,4688868.578304207,2614841.979449845,7303710.557754052,0.04785087719298245,1.2546
184,87,33,120,161,0.809330456157818,4155801.3776705205,2691239.758125153,6847041.135795673,0.04547916666666667,1.2549
185,78,42,120,161,0.8066484837073439,3626952.882173722,3761535.6673187474,7388488.549492469,0.045500000000000006,1.2551999999999999
186,66,33,99,163,0.8188605937532261,3816622.929647332,2622641.931076731,6439264.860724064,0.055176767676767685,1.2555
187,82,28,110,145,0.7275993049791878,3198489.5577857667,2338563.236811946,5537052.794597713,0.04968181818181818,1.2558
188,71,39,110,167,0.8354178223649678,3636549.2533887755,2944007.4672101405,6580556.720598916,0.04970454545454545,1.2561
189,75,26,101,166,0.8325100588979331,3712809.051082731,2464100.4951779144,6176909.546260646,0.054158415841584165,1.2564
190,66,37,103,153,0.7654045965059378,3284956.614602686,3032028.4769995166,6316985.0916022025,0.053131067961165054,1.2567
191,81,32,113,147,0.7374230287904778,4634724.66464967,2538969.2983315024,7173693.962981172,0.04845132743362832,1.257
192,86,34,120,164,0.8228376609576893,4544999.930499847,2841776.7283247095,7386776.6588245565,0.04564583333333334,1.2572999999999999
193,90,30,120,161,0.8098260584850735,4819051.690914831,2378463.4333710657,7197515.124285897,0.045666666666666675,1.2576
194,79,41,120,178,0.8900470216455408,3934137.6094954843,2810705.76650528,6744843.376000764,0.045687500000000006,1.2579
195,77,39,116,168,0.8420321774494363,3598739.7679685797,2980790.768836989,6579530.536805568,0.04728448275862069,1.2582
196,62,30,92,140,0.7,2608990.1247194256,2582499.5174746313,5191489.642194057,0.05964673913043478,1.2585
197,86,34,120,150,0.7516511928435394,4279484.116858949,2719020.1093673655,6998504.226226315,0.045750000000000006,1.2588
198,75,25,100,168,0.8438681145287836,3667138.4348138757,2005377.167798906,5672515.602612782,0.054925,1.2590999999999999
199,74,41,115,157,0.7876411308739703,3447665.8282408146,2951468.6367544676,6399134.464995282,0.04778260869565217,1.2593999999999999
200,81,28,109,166,0.8320421430633506,3818672.509137967,2368258.5430237795,6186931.052161747,0.05043577981651376,1.2597
201,89,31,120,160,0.8029815184960087,4162113.1339210197,2653159.3817761703,6815272.515697191,0.045833333333333344,1.26
202,87,30,117,166,0.8317585900840985,4806555.431163911,2271543.5492254635,7078098.980389374,0.047029914529914535,1.2603
203,85,35,120,180,0.9,3957095.1773119336,3286069.8648862694,7243165.0421982035,0.045875000000000006,1.2606
204,76,38,114,155,0.775805708297284,3678268.0228861584,3168946.4477061825,6847214.47059234,0.04831140350877192,1.2609
205,78,39,117,159,0.7987822703869509,4735485.439858627,3658993.469071422,8394478.908930048,0.0470940170940171,1.2611999999999999
206,81,35,116,161,0.8060015663359131,4298474.778955818,2513618.0817444464,6812092.860700265,0.04752155172413793,1.2614999999999998
207,70,38,108,163,0.819961156130264,3726518.5788959595,2893111.31546099,6619629.894356949,0.05106481481481482,1.2618
208,78,42,120,145,0.726781255989509,3987536.209238389,3711825.0296776835,7699361.238916073,0.04597916666666667,1.2621
209,81,39,120,170,0.8539340416715648,4034404.069852214,3066140.2824184643,7100544.352270678,0.046000000000000006,1.2624
210,87,32,119,144,0.7211803921507876,4992295.052130764,2913303.3866617475,7905598.438792512,0.04640756302521009,1.2627
211,74,29,103,164,0.824701509314137,3796449.2933548456,2192329.2043078626,5988778.497662708,0.053640776699029134,1.263
212,71,31,102,171,0.8586364509629683,3742978.0548810237,2388087.6456426457,6131065.700523669,0.05419117647058823,1.2632999999999999
213,76,41,117,171,0.8574382850186052,3138908.7640643218,3161119.3712197724,6300028.135284094,0.04726495726495727,1.2635999999999998
214,62,34,96,171,0.858041339368926,2955012.6275933133,2814249.055830755,5769261.683424069,0.05763020833333334,1.2639
215,78,30,108,160,0.8038410945530128,3399633.032566458,2639104.036667314,6038737.069233771,0.051250000000000004,1.2642
216,66,37,103,155,0.7785942419517045,3795250.730909323,3211665.635665594,7006916.366574917,0.053762135922330104,1.2645
217,70,34,104,156,0.783918247439131,4226861.794246295,2823886.4430069826,7050748.237253277,0.05326923076923078,1.2648
218,84,28,112,162,0.8119394579513257,4091202.298755305,2196017.633804965,6287219.93256027,0.04948660714285715,1.2651
219,74,33,107,167,0.8363814771818491,3719219.9777487004,2833416.980384913,6552636.958133614,0.05182242990654206,1.2653999999999999
220,74,32,106,140,0.7000899657733947,4039041.239639918,2648701.0498298863,6687742.289469805,0.05233490566037736,1.2657
221,76,42,118,180,0.9,3746955.941301034,3732349.4264238058,7479305.36772484,0.04703389830508475,1.266
222,69,26,95,149,0.7473292218413172,3234799.708559947,2478118.5216042916,5712918.230164239,0.05844736842105263,1.2663
223,73,31,104,168,0.8435033865344378,3830923.889110001,2517303.888475607,6348227.777585608,0.05341346153846154,1.2666
224,82,28,110,159,0.7971190601483208,4182450.6091531366,2475346.5847057053,6657797.193858841,0.05052272727272727,1.2669
225,88,30,118,166,0.8319365111014593,3897077.838398587,2792023.567752263,6689101.40615085,0.04711864406779661,1.2671999999999999
226,66,27,93,152,0.7622862074990322,3278834.3456243123,2231012.680625552,5509847.026249864,0.05981182795698925,1.2674999999999998
227,78,31,109,176,0.8806855634529324,4076878.377590452,2419449.154447919,6496327.532038371,0.05105504587155964,1.2678
228,86,29,115,147,0.7386196092431504,4556882.030035439,2482672.0762161287,7039554.106251568,0.048413043478260864,1.2681
229,76,26,102,158,0.7924972206483737,3847719.0523191863,2044001.060548955,5891720.112868141,0.054607843137254905,1.2684
230,68,37,105,145,0.7279974558702853,3942131.7214964908,2709299.440897775,6651431.162394266,0.05307142857142857,1.2687
231,61,33,94,153,0.768051912615525,2646457.613010713,3073492.0022760015,5719949.615286714,0.059308510638297875,1.269
232,76,39,115,180,0.9,4173070.885056806,3018652.6083453097,7191723.493402116,0.048499999999999995,1.2692999999999999
233,60,20,80,146,0.7305213766618203,2506380.375912932,1763611.2691215426,4269991.645034475,0.06975,1.2696
234,90,30,120,165,0.828195456002618,4767639.453749378,2604819.7341072736,7372459.187856652,0.04652083333333334,1.2699
235,79,33,112,161,0.8052100551975938,3925275.7144796886,2440953.3485391974,6366229.063018886,0.04986607142857144,1.2702
236,65,36,101,159,0.7950830186602625,2928707.8901759516,2562166.2766418583,5490874.16681781,0.05532178217821782,1.2705
