구 분,1 월,2 월,3 월,4 월,5 월,6 월,7 월,8 월,9 월,10 월,11 월,12 월,합계
IM,"12,639","11,116","13,353","12,994","11,732","11,879","13,451","12,028","12,339","18,999","12,407","13,279","156,216"
NE,"2,652","2,390","2,784","2,826","2,459","2,633","2,991","2,875","2,789","2,869","2,765","2,921","32,954"
PED,"2,631","2,278","2,624","2,974","2,254","1,566","1,933","2,225","2,229","2,520","2,317","2,877","28,428"
NP,754,656,781,767,646,460,786,746,738,751,722,774,"8,581"
GS,"1,011",910,"1,011","1,030",861,976,"1,216","1,165","1,049","1,096","1,015","1,137","12,477"
CS,171,126,164,136,143,117,,,,,,,857
OS,"3,799","3,220","4,078","3,939","3,605","3,751","4,129","3,621","3,646","3,867","3,714","4,029","45,398"
NS,"1,416","1,166","1,523","1,485","1,416","1,555","1,857","1,679","1,588","1,766","1,714","1,930","19,095"
OG,141,110,118,111,119,122,128,149,99,701,656,213,"2,667"
OPH,"2,087","1,725","2,149","1,949","1,774","1,733","2,053","1,938","1,863","1,917","1,754","1,877","22,819"
DE,"2,153","1,929","2,347","2,174","2,068","2,112","2,270",20,21,14,25,18,"15,151"
ENT,"1,475","1,223","1,511","1,396","1,198","1,233","1,053",901,"1,030","1,049",814,849,"13,732"
URO,"2,720","2,386","2,884","2,819","2,509","2,478","2,947","2,629","2,641","2,670","2,653","3,058","32,394"
DT,"2,626","2,098","2,657","2,289","2,396","2,476","2,717","2,429","2,502","2,635","2,457","2,463","29,745"
RM,"3,102","2,510","3,071","3,103","2,566","2,415","3,208","3,289","2,881","2,999","3,098","3,009","35,251"
FM,"2,886","2,762","3,191","2,985","2,477","2,509","2,713","3,990","3,936","4,660","4,047","4,394","40,550"
AD,40,31,,26,35,25,36,43,36,40,31,28,371
NM,11,10,7,11,12,14,13,18,13,11,12,8,140
HC,251,430,801,687,825,672,690,"1,166",906,"1,617","1,162","2,009","11,216"
합 계,"42,565","37,076","45,054","43,701","39,095","38,726","44,191","40,911","40,306","50,181","41,363","44,873","508,042"
KA,,,,,,,,,,,,,
