"년도","구분","자연인","연인원"
"2018","감면","3838","12968"
"2018","국비","2486","8826"
"2018","일반","867","1579"
"2019","감면","8702","91265"
"2019","국비","4674","53002"
"2019","일반","2161","7770"
"2020","감면","8829","91714"
"2020","국비","4904","54891"
"2020","일반","3419","8749"
