"년도","구분","자연인","연인원"
"2018","감면","3838","12968"
"2018","국비","2486","8826"
"2018","일반","867","1579"
"2019","감면","8701","91265"
"2019","국비","4676","53002"
"2019","일반","2160","7770"
"2020","감면","8828","91714"
"2020","국비","4906","54891"
"2020","일반","3418","8749"
"2021","감면","8924","99011"
"2021","국비","5105","59300"
"2021","일반","4999","14063"
"2022","감면","8553","88741"
"2022","국비","5099","59264"
"2022","일반","5331","16550"
