성별,본인유족구분,mean,min,median,max,std,var
남,본인,18390.062448644207,0.0,12690.0,127119.0,26787.273076795886,717557998.8908337
남,유족,4081.465249386754,0.0,439.0,26596.0,6547.27861822318,42866857.30464244
여,본인,278.38961038961037,0.0,221.0,945.0,274.31841979769257,75250.59544030308
여,유족,7237.031941031941,0.0,839.0,35241.0,10351.23407245482,107148046.8227496
