기준일,본인유족구분,성별,mean,min,median,max,std,var
2020-09-30,본인,남,19601.272727272728,0.0,11951.5,126580.0,29747.179103046805,884894664.5887444
2020-09-30,본인,여,248.36363636363637,0.0,207.0,944.0,261.959383521031,68622.7186147186
2020-09-30,유족,남,3548.5454545454545,1.0,468.5,17543.0,5641.052238277745,31821470.354978357
2020-09-30,유족,여,6919.227272727273,0.0,1126.5,31627.0,10231.369232632496,104680916.37445888
2020-10-31,본인,남,19551.636363636364,0.0,11996.0,125953.0,29661.77917077392,879821143.5757575
2020-10-31,본인,여,249.4090909090909,0.0,208.0,945.0,263.1175111529536,69230.82467532468
2020-10-31,유족,남,3568.090909090909,2.0,464.5,17569.0,5679.025712123606,32251333.038961034
2020-10-31,유족,여,6938.636363636364,0.0,1132.0,31956.0,10261.976346110845,105308158.5281385
2020-11-30,본인,남,19497.045454545456,0.0,12017.5,125453.0,29586.980997081217,875389444.521645
2020-11-30,본인,여,249.86363636363637,0.0,207.0,938.0,262.94147374409886,69138.21861471861
2020-11-30,유족,남,3592.1363636363635,1.0,462.5,17696.0,5727.788672407317,32807563.075757578
2020-11-30,유족,여,6954.681818181818,0.0,1137.0,32236.0,10285.615079352623,105793877.56060608
2020-12-31,본인,남,19464.772727272728,0.0,12015.0,124936.0,29538.391148005237,872516551.6125541
2020-12-31,본인,여,251.27272727272728,0.0,208.5,942.0,263.8629120654063,69623.63636363635
2020-12-31,유족,남,3611.0454545454545,1.0,469.0,17756.0,5763.246311364328,33215008.045454536
2020-12-31,유족,여,6968.0,0.0,1139.0,32638.0,10309.964694410937,106295372.0
2021-01-31,본인,남,19424.863636363636,0.0,12064.5,123263.0,29331.723642460263,860350011.8376625
2021-01-31,본인,여,252.86363636363637,0.0,209.5,933.0,265.14206352974975,70300.31385281387
2021-01-31,유족,남,3631.7272727272725,1.0,464.5,17806.0,5805.759391548543,33706842.11255411
2021-01-31,유족,여,6986.954545454545,0.0,1152.0,32902.0,10337.783927014774,106869776.52164502
2021-02-28,본인,남,19382.272727272728,0.0,12112.5,121536.0,29134.894209328177,848842060.5887445
2021-02-28,본인,여,253.45454545454547,0.0,209.0,928.0,265.5796405121173,70532.54545454544
2021-02-28,유족,남,3652.818181818182,1.0,458.0,17854.0,5849.21197489651,34213280.72727273
2021-02-28,유족,여,7002.772727272727,0.0,1168.5,33210.0,10364.337154887096,107419484.66017316
2021-03-31,본인,남,19338.863636363636,0.0,12084.5,119194.0,28889.935316638683,834628362.599567
2021-03-31,본인,여,255.27272727272728,0.0,207.5,918.0,266.129789642319,70825.06493506495
2021-03-31,유족,남,3680.0454545454545,1.0,462.0,17933.0,5901.691843605791,34829966.61688312
2021-03-31,유족,여,7021.090909090909,0.0,1180.5,33579.0,10396.887702389784,108095273.8961039
2021-04-30,본인,남,19290.636363636364,0.0,12127.0,117359.0,28686.398780682266,822909475.0043291
2021-04-30,본인,여,256.09090909090907,0.0,209.5,917.0,266.10486817381013,70811.80086580086
2021-04-30,유족,남,3703.090909090909,1.0,462.5,18036.0,5945.708503651151,35351449.610389605
2021-04-30,유족,여,7038.818181818182,0.0,1192.0,33827.0,10419.66359312715,108569389.3939394
2021-05-31,본인,남,19256.18181818182,0.0,12218.5,115277.0,28503.188016575008,812431727.1082251
2021-05-31,본인,여,256.90909090909093,0.0,210.0,914.0,266.71545549355443,71137.1341991342
2021-05-31,유족,남,3720.2727272727275,1.0,464.0,18068.0,5979.871747165997,35758866.11255411
2021-05-31,유족,여,7054.818181818182,0.0,1200.0,34071.0,10445.971306527534,109118316.53679654
2021-06-30,본인,남,19212.909090909092,0.0,12283.0,113264.0,28319.440717690217,801990722.5627706
2021-06-30,본인,여,258.04545454545456,0.0,211.0,908.0,268.0100348641423,71829.37878787878
2021-06-30,유족,남,3740.818181818182,1.0,458.5,18206.0,6020.644868453431,36248164.63203463
2021-06-30,유족,여,7076.318181818182,0.0,1209.0,34219.0,10479.15366169272,109812661.46536796
2021-07-31,본인,남,19182.954545454544,0.0,12370.0,111073.0,28144.244385761267,792098492.0454545
2021-07-31,본인,여,259.40909090909093,0.0,212.0,903.0,269.1449705112751,72439.01515151515
2021-07-31,유족,남,3763.318181818182,1.0,458.5,18288.0,6063.663911926233,36768020.03679655
2021-07-31,유족,여,7095.045454545455,0.0,1211.0,34356.0,10501.987428587812,110291739.95021646
2021-08-31,본인,남,19144.31818181818,0.0,12394.0,108490.0,27968.790266816646,782253228.9891775
2021-08-31,본인,여,260.09090909090907,0.0,213.0,899.0,269.45852390283756,72607.89610389608
2021-08-31,유족,남,3784.818181818182,0.0,454.0,18317.0,6099.382159470969,37202462.727272734
2021-08-31,유족,여,7110.409090909091,0.0,1207.0,34426.0,10515.240031493026,110570272.91991343
2021-09-30,본인,남,19110.454545454544,0.0,12430.5,105979.0,27812.828204552137,773553412.7359308
2021-09-30,본인,여,260.3181818181818,0.0,216.0,885.0,268.75734964278274,72230.51298701297
2021-09-30,유족,남,3803.7727272727275,0.0,452.5,18283.0,6128.277672527717,37555787.23160174
2021-09-30,유족,여,7120.181818181818,0.0,1213.0,34560.0,10524.668182243104,110768640.34632036
2021-10-31,본인,남,19072.090909090908,0.0,12466.0,103732.0,27688.357761253224,766645155.5151516
2021-10-31,본인,여,261.04545454545456,0.0,216.0,871.0,268.6829388796796,72190.52164502165
2021-10-31,유족,남,3823.5,0.0,461.5,18249.0,6159.162402469997,37935281.499999985
2021-10-31,유족,여,7137.681818181818,0.0,1225.5,34712.0,10544.850087608163,111193863.37012988
2021-11-30,본인,남,19019.636363636364,0.0,12498.5,101584.0,27566.197816382803,759895262.0519481
2021-11-30,본인,여,261.27272727272725,0.0,218.5,870.0,270.1872687103524,73001.16017316017
2021-11-30,유족,남,3844.2272727272725,0.0,451.0,18221.0,6192.082455552707,38341885.13636364
2021-11-30,유족,여,7154.227272727273,0.0,1236.5,34870.0,10565.216275395762,111623794.94588748
2021-12-31,본인,남,18949.136363636364,0.0,12467.5,99193.0,27434.040855243802,752626597.6471862
2021-12-31,본인,여,261.22727272727275,0.0,221.0,857.0,269.9407222085869,72867.9935064935
2021-12-31,유족,남,3868.818181818182,0.0,450.0,18435.0,6234.950250967095,38874604.63203464
2021-12-31,유족,여,7169.954545454545,0.0,1241.0,34946.0,10580.117496319723,111938886.23593071
2022-01-31,본인,남,18899.363636363636,0.0,12532.5,97068.0,27319.058053108107,746330932.9090909
2022-01-31,본인,여,262.8636363636364,0.0,223.0,829.0,268.8717689504202,72292.02813852814
2022-01-31,유족,남,3889.1363636363635,0.0,453.0,18655.0,6269.396259346666,39305329.456709966
2022-01-31,유족,여,7183.454545454545,0.0,1248.5,35023.0,10583.995900042724,112020969.21212119
2022-02-28,본인,남,18849.363636363636,0.0,12545.5,99603.0,27235.872906964614,741792773.0043291
2022-02-28,본인,여,263.72727272727275,0.0,227.0,813.0,269.7994284681337,72791.7316017316
2022-02-28,유족,남,3906.590909090909,0.0,453.0,18820.0,6294.032522644277,39614845.39610389
2022-02-28,유족,여,7196.727272727273,0.0,1246.0,35127.0,10592.539626152064,112201895.73160172
2022-03-31,본인,남,18795.909090909092,0.0,12550.5,101365.0,27155.265920801387,737408467.2294371
2022-03-31,본인,여,265.5,0.0,230.0,798.0,270.32586156076786,73076.07142857143
2022-03-31,유족,남,3928.7272727272725,0.0,451.5,19005.0,6327.4797900512085,40037000.49350649
2022-03-31,유족,여,7211.636363636364,0.0,1247.0,35234.0,10610.108951217699,112574411.95670995
2022-04-30,본인,남,18741.590909090908,0.0,12604.0,102620.0,27080.446397915777,733350577.1103896
2022-04-30,본인,여,266.5,0.0,230.0,807.0,271.2224091739015,73561.59523809524
2022-04-30,유족,남,3952.681818181818,0.0,444.5,19204.0,6364.152997071164,40502443.370129876
2022-04-30,유족,여,7228.681818181818,0.0,1254.0,35241.0,10626.370788375241,112919756.13203464
2022-05-31,본인,남,18685.272727272728,0.0,12627.5,103925.0,27030.619652150424,730654398.7792208
2022-05-31,본인,여,267.27272727272725,0.0,229.0,802.0,271.48817071803853,73705.82683982683
