모델,병상종류,MSE,MAE,R2
RandomForest,격리병실,11.904533333333333,3.193333333333333,0.8845776461082683
RandomForest,무균치료실,0.06826666666666664,0.10666666666666665,0.8771200000000001
RandomForest,물리치료실,35.336733333333335,4.6899999999999995,0.8120386524822695
RandomForest,분만실,1.2486666666666666,0.8066666666666666,0.8250894941634241
RandomForest,수술실,1.1362000000000003,0.7500000000000001,0.9201109375
RandomForest,신생아실,5.045133333333334,1.7566666666666666,0.8253607692307692
RandomForest,응급실,4.028666666666665,1.5866666666666662,0.9286610919822922
RandomForest,인공신장실,7.872533333333336,2.22,0.9318886806056237
RandomForest,일반입원실_상급,2.0673999999999997,1.03,0.8210903846153846
RandomForest,일반입원실_일반,3257.1642000000006,41.28333333333333,0.9259086642154463
RandomForest,정신과개방_일반,0.6144,0.32,0.87712
RandomForest,정신과폐쇄_일반,61.44000000000002,3.2000000000000006,0.87712
RandomForest,중환자실_성인,17.59513333333333,2.7899999999999996,0.912425715470759
RandomForest,회복실,0.8996666666666671,0.8366666666666668,0.9119891304347826
RandomForest,총병상수,6178.059266666667,57.616666666666674,0.9187488278298889
GradientBoosting,격리병실,0.0036720087849149365,0.05262692640296878,0.9999643974370437
GradientBoosting,무균치료실,1.947370347157211e-05,0.0032891829001855913,0.9999649473337512
GradientBoosting,물리치료실,0.007310951705855953,0.07163588921753276,0.9999611119590114
GradientBoosting,분만실,0.000250237089609701,0.011512140150649523,0.9999649473337512
GradientBoosting,수술실,0.0005483183865751677,0.018181568299378226,0.999961446363444
GradientBoosting,신생아실,0.001012632580521768,0.025655626621447825,0.9999649473337512
GradientBoosting,응급실,0.002026039522596713,0.03489117971505473,0.9999641232548876
GradientBoosting,인공신장실,0.004057606002946836,0.05525827272311735,0.9999648945407099
GradientBoosting,일반입원실_상급,0.0004050530322087,0.017103751080965512,0.9999649473337512
GradientBoosting,일반입원실_일반,1.6806164831945072,1.0294794955656528,0.9999617706960608
GradientBoosting,정신과개방_일반,0.0001752633312441489,0.009867548700556771,0.9999649473337512
GradientBoosting,정신과폐쇄_일반,0.017526333124415244,0.09867548700556833,0.9999649473337512
GradientBoosting,중환자실_성인,0.0077148413048069376,0.06753830635749007,0.9999616017852934
GradientBoosting,회복실,0.000358316143876913,0.015788077920890542,0.9999649473337512
GradientBoosting,총병상수,2.932748750369937,1.352339133118453,0.9999614297527164
Ridge,격리병실,0.0009317337870387187,0.0285317879181064,0.9999909662223718
Ridge,무균치료실,5.535454066710957e-07,0.0006489744205327164,0.999999003618268
Ridge,물리치료실,0.012692887789217113,0.08324968486946578,0.9999324846394191
Ridge,분만실,0.0005384022675474308,0.016419125122196936,0.9999245817835342
Ridge,수술실,6.150792963395277e-06,0.002167044662665004,0.9999995675223697
Ridge,신생아실,0.002016408179909976,0.03289903814926465,0.9999302012553108
Ridge,응급실,0.00017276556289373248,0.009776731555140472,0.9999969406983452
Ridge,인공신장실,0.0007601850727005184,0.02334828288576259,0.9999934230563284
Ridge,일반입원실_상급,0.00037662771125227245,0.013629787791292536,0.9999674072172955
Ridge,일반입원실_일반,0.09434939784625984,0.23674159398330138,0.9999978538162377
Ridge,정신과개방_일반,4.98190866003776e-06,0.0019469232615979548,0.999999003618268
Ridge,정신과폐쇄_일반,0.0004981908660037513,0.019469232615978882,0.999999003618268
Ridge,중환자실_성인,0.0002671864371838988,0.013922442782896264,0.9999986701629008
Ridge,회복실,6.0065917835433736e-05,0.0058616152137071316,0.9999941239862987
Ridge,총병상수,0.255954942440241,0.39186699370906314,0.9999966337909368
ElasticNet,격리병실,0.03596964523806942,0.18072474751350187,0.9996512504097574
ElasticNet,무균치료실,0.0008758826461305819,0.023545555994986006,0.998423411236965
ElasticNet,물리치료실,0.3374816380675702,0.4306905360023781,0.9982048849038959
ElasticNet,분만실,0.025725825301465097,0.11336145245828522,0.9963963824480438
ElasticNet,수술실,0.0014200309302897028,0.03179414252910462,0.999900154075214
ElasticNet,신생아실,0.06835325561983303,0.19583492766981672,0.9976339257670058
ElasticNet,응급실,0.008960057343649802,0.07841860279260023,0.9998413369088188
ElasticNet,인공신장실,0.029614581212056863,0.15250520464986117,0.9997437815612511
ElasticNet,일반입원실_상급,0.019056145216188432,0.09957081421077207,0.9983509105101376
ElasticNet,일반입원실_일반,2.2687337463376416,1.17671989150863,0.9999483926804164
ElasticNet,정신과개방_일반,0.0016943003719242465,0.03580801882264606,0.9996611399256151
ElasticNet,정신과폐쇄_일반,0.021678108541881135,0.12491795937989429,0.9999566437829163
ElasticNet,중환자실_성인,0.012887724247468556,0.09769666766141032,0.9999358553749608
ElasticNet,회복실,0.003837530867144581,0.052577131582775806,0.9996245893716924
ElasticNet,총병상수,5.93549514283409,1.893621702457504,0.9999219389266194
DecisionTree,격리병실,14.25,3.3333333333333335,0.8618367896579585
DecisionTree,무균치료실,0.0,0.0,1.0
DecisionTree,물리치료실,15.0,3.0,0.9202127659574468
DecisionTree,분만실,0.125,0.25,0.9824902723735408
DecisionTree,수술실,0.6666666666666666,0.6666666666666666,0.953125
DecisionTree,신생아실,0.08333333333333333,0.16666666666666666,0.9971153846153846
DecisionTree,응급실,21.75,4.166666666666667,0.6148548942449582
DecisionTree,인공신장실,17.583333333333332,3.5,0.8478731074260994
DecisionTree,일반입원실_상급,2.1666666666666665,1.3333333333333333,0.8125
DecisionTree,일반입원실_일반,1818.4583333333333,26.166666666666668,0.9586351811845347
DecisionTree,정신과개방_일반,0.0,0.0,1.0
DecisionTree,정신과폐쇄_일반,0.0,0.0,1.0
