model_name,model_type,accuracy,precision,recall,f1_score,mae,rmse,r2_score
DecisionTree_Classification,classification,0.65625,0.6980519480519481,0.65625,0.6719298245614035,,,
RandomForest_Classification,classification,0.6875,0.7738095238095237,0.6875,0.7077922077922078,,,
GradientBoosting_Classification,classification,0.78125,0.7728571428571429,0.78125,0.7761904761904761,,,
DT_Regression,regression,,,,,62045714.41416563,246589480.04601595,-105210.3943991667
RF_Regression,regression,,,,,42028047.40350604,166480089.958807,-47954.48531986886
GB_Regression,regression,,,,,62045622.43824432,246546678.74850196,-105173.87383570305
LightGBM_Classification,classification,0.8387096774193549,0.8077956989247311,0.8387096774193549,0.8072900578085698,,,
