코드그룹,년도,지역,구분,국비,사비,합계
0.0,2023,서울,수술,1,1,2
1.1,2023,서울,수술,0,1,1
1.2,2020,부산,수술,4,0,4
1.3,2023,서울,수술,22,32,54
1.5,2023,서울,수술,2,2,4
10.,2023,서울,수술,2,2,4
11.,2023,서울,수술,4,4,8
12.,2020,부산,수술,1,0,1
12.,2023,서울,수술,76,75,151
13.,2020,부산,수술,374,116,490
13.,2023,서울,수술,1452,905,2357
14.,2020,부산,수술,16,0,16
14.,2023,서울,수술,369,382,751
15.,2023,서울,수술,3,0,3
16.,2023,서울,수술,7,2,9
18.,2023,서울,수술,7,17,24
19.,2023,서울,수술,20,34,54
2.3,2023,서울,수술,2,4,6
20.,2023,서울,수술,50,39,89
21.,2020,부산,수술,21,4,25
21.,2023,서울,수술,77,59,136
22.,2020,부산,수술,7,2,9
22.,2023,서울,수술,143,131,274
24.,2023,서울,수술,1,0,1
25.,2023,서울,수술,10,3,13
26.,2023,서울,수술,8,6,14
27.,2023,서울,수술,14,8,22
28,2023,서울,수술,2,0,2
28.,2023,서울,수술,6,5,11
29.,2023,서울,수술,10,8,18
3.0,2020,부산,수술,2,1,3
3.0,2023,서울,수술,124,134,258
3.1,2020,부산,수술,19,0,19
3.3,2023,서울,수술,0,2,2
3.4,2023,서울,수술,1,0,1
3.5,2020,부산,수술,145,9,154
3.5,2023,서울,수술,23,70,93
3.6,2020,부산,수술,6,0,6
3.6,2023,서울,수술,2,0,2
3.9,2020,부산,수술,170,7,177
3.9,2023,서울,수술,258,198,456
30.,2023,서울,수술,41,24,65
31.,2020,부산,수술,1,0,1
31.,2023,서울,수술,69,37,106
32.,2023,서울,수술,57,31,88
33.,2023,서울,수술,3,1,4
34.,2023,서울,수술,38,21,59
35.,2023,서울,수술,30,10,40
36.,2023,서울,수술,41,18,59
37.,2023,서울,수술,10,2,12
38.,2020,부산,수술,10,2,12
38.,2023,서울,수술,173,123,296
39.,2020,부산,수술,11,0,11
39.,2023,서울,수술,235,144,379
4.0,2020,부산,수술,1,0,1
4.4,2020,부산,수술,6,3,9
4.4,2023,서울,수술,18,11,29
4.6,2023,서울,수술,3,8,11
4.7,2020,부산,수술,524,3,527
4.7,2023,서울,수술,68,7,75
4.8,2023,서울,수술,91,204,295
40.,2023,서울,수술,170,150,320
41.,2023,서울,수술,5,4,9
43.,2020,부산,수술,5,0,5
43.,2023,서울,수술,44,39,83
44.,2023,서울,수술,10,2,12
45.,2020,부산,수술,4,0,4
45.,2023,서울,수술,67,72,139
46.,2023,서울,수술,33,23,56
47.,2020,부산,수술,6,5,11
47.,2023,서울,수술,24,35,59
48.,2020,부산,수술,1,0,1
48.,2023,서울,수술,19,27,46
49.,2020,부산,수술,3,6,9
49.,2023,서울,수술,50,92,142
5.3,2023,서울,수술,1,1,2
50,2023,서울,수술,0,3,3
50.,2023,서울,수술,8,9,17
51.,2020,부산,수술,25,24,49
51.,2023,서울,수술,93,122,215
52.,2023,서울,수술,7,2,9
53.,2020,부산,수술,25,23,48
53.,2023,서울,수술,132,120,252
54,2023,서울,수술,1,1,2
54.,2020,부산,수술,1,0,1
54.,2023,서울,수술,415,394,809
55,2023,서울,수술,8,2,10
55.,2023,서울,수술,16,17,33
56,2023,서울,수술,15,19,34
56.,2023,서울,수술,36,19,55
57,2023,서울,수술,12,25,37
57.,2020,부산,수술,48,3,51
57.,2023,서울,수술,243,116,359
58.,2020,부산,수술,11,0,11
58.,2023,서울,수술,53,13,66
59.,2023,서울,수술,46,65,111
6.2,2020,부산,수술,0,1,1
6.2,2023,서울,수술,19,11,30
6.3,2023,서울,수술,1,0,1
6.4,2023,서울,수술,1,1,2
6.8,2023,서울,수술,3,0,3
60.,2020,부산,수술,135,70,205
60.,2023,서울,수술,184,160,344
61,2023,서울,수술,2,0,2
61.,2023,서울,수술,3,1,4
62.,2020,부산,수술,1,0,1
62.,2023,서울,수술,1,1,2
63.,2020,부산,수술,4,2,6
63.,2023,서울,수술,10,13,23
64,2023,서울,수술,3,2,5
64.,2020,부산,수술,14,0,14
64.,2023,서울,수술,18,5,23
65.,2023,서울,수술,0,49,49
66.,2023,서울,수술,0,5,5
67.,2023,서울,수술,0,10,10
68.,2023,서울,수술,1,169,170
69.,2023,서울,수술,0,1,1
7.2,2023,서울,수술,3,1,4
7.6,2023,서울,수술,2,4,6
70.,2023,서울,수술,1,24,25
71.,2023,서울,수술,0,6,6
76.,2023,서울,수술,1,0,1
77.,2020,부산,수술,7,0,7
77.,2023,서울,수술,34,41,75
78.,2020,부산,수술,15,15,30
78.,2023,서울,수술,71,78,149
79.,2020,부산,수술,15,15,30
79.,2023,서울,수술,58,116,174
8.2,2023,서울,수술,2,1,3
8.3,2023,서울,수술,4,0,4
8.4,2023,서울,수술,7,8,15
8.8,2023,서울,수술,2,2,4
8.9,2023,서울,수술,2,1,3
80.,2020,부산,수술,87,93,180
80.,2023,서울,수술,226,276,502
81.,2020,부산,수술,99,66,165
81.,2023,서울,수술,344,690,1034
82.,2020,부산,수술,6,1,7
82.,2023,서울,수술,0,4,4
83.,2020,부산,수술,133,19,152
83.,2023,서울,수술,140,196,336
84.,2020,부산,수술,5,1,6
84.,2023,서울,수술,97,83,180
85.,2023,서울,수술,4,40,44
86.,2020,부산,수술,24,5,29
86.,2023,서울,수술,200,93,293
87.,2023,서울,수술,6,8,14
88.,2020,부산,수술,1,0,1
88.,2023,서울,수술,0,2,2
9.4,2023,서울,수술,4,3,7
9.7,2023,서울,수술,0,1,1
9.8,2023,서울,수술,2,2,4
92.,2023,서울,수술,1,0,1
93.,2020,부산,수술,12,1,13
93.,2023,서울,수술,12,11,23
96.,2023,서울,수술,46,15,61
97.,2020,부산,수술,1,0,1
97.,2023,서울,수술,15,14,29
98.,2020,부산,수술,1,3,4
99.,2020,부산,수술,1,0,1
99.,2023,서울,수술,3,12,15
A01,2023,대구,질병,0,1,1
A01,2023,부산,질병,0,2,2
A02,2019,광주,질병,1,2,3
A02,2019,대구,질병,1,0,1
A02,2019,서울,질병,1,1,2
A02,2020,광주,질병,0,1,1
A02,2020,서울,질병,0,3,3
A02,2021,광주,질병,0,1,1
A02,2021,대전,질병,1,0,1
A02,2021,서울,질병,2,0,2
A02,2022,대구,질병,1,1,2
A02,2023,광주,질병,4,1,5
A02,2023,대구,질병,0,1,1
A02,2023,서울,질병,0,1,1
A03,2020,광주,질병,0,1,1
A04,2019,광주,질병,4,9,13
A04,2019,대구,질병,6,5,11
A04,2019,대전,질병,7,5,12
A04,2019,부산,질병,4,0,4
A04,2019,서울,질병,96,72,168
A04,2019,인천,질병,0,1,1
A04,2020,광주,질병,2,6,8
A04,2020,대구,질병,3,5,8
A04,2020,대전,질병,7,10,17
A04,2020,서울,질병,160,98,258
A04,2021,광주,질병,4,2,6
A04,2021,대구,질병,5,3,8
A04,2021,대전,질병,7,3,10
A04,2021,부산,질병,2,0,2
A04,2021,서울,질병,73,59,132
A04,2022,광주,질병,1,3,4
A04,2022,대구,질병,2,0,2
A04,2022,대전,질병,3,10,13
A04,2022,부산,질병,0,1,1
A04,2022,서울,질병,100,79,179
A04,2023,광주,질병,8,6,14
A04,2023,대구,질병,2,5,7
A04,2023,대전,질병,9,12,21
A04,2023,서울,질병,138,97,235
A05,2022,대전,질병,0,1,1
A05,2023,대전,질병,1,0,1
A08,2019,광주,질병,0,20,20
A08,2019,대구,질병,1,0,1
A08,2019,대전,질병,4,3,7
A08,2020,광주,질병,1,6,7
A08,2020,대전,질병,5,0,5
A08,2020,서울,질병,2,0,2
A08,2021,대구,질병,1,1,2
A08,2021,대전,질병,2,4,6
A08,2022,광주,질병,2,0,2
A08,2022,대구,질병,6,0,6
A08,2022,대전,질병,2,10,12
A08,2022,서울,질병,0,1,1
A08,2023,대구,질병,2,0,2
A08,2023,대전,질병,2,2,4
A08,2023,서울,질병,1,1,2
A09,2019,광주,질병,25,94,119
A09,2019,대구,질병,71,52,123
A09,2019,대전,질병,29,48,77
A09,2019,부산,질병,31,16,47
A09,2019,서울,질병,109,97,206
A09,2019,인천,질병,12,22,34
A09,2020,광주,질병,29,77,106
A09,2020,대구,질병,45,31,76
A09,2020,대전,질병,37,49,86
A09,2020,서울,질병,105,92,197
A09,2020,인천,질병,11,13,24
A09,2021,광주,질병,37,47,84
A09,2021,대구,질병,54,21,75
A09,2021,대전,질병,30,43,73
A09,2021,부산,질병,30,17,47
A09,2021,서울,질병,59,61,120
A09,2021,인천,질병,7,11,18
A09,2022,광주,질병,27,22,49
A09,2022,대구,질병,45,32,77
A09,2022,대전,질병,32,25,57
A09,2022,부산,질병,18,13,31
A09,2022,서울,질병,76,78,154
A09,2022,인천,질병,3,5,8
A09,2023,광주,질병,39,39,78
A09,2023,대구,질병,43,27,70
A09,2023,대전,질병,22,27,49
A09,2023,부산,질병,24,6,30
A09,2023,서울,질병,101,78,179
A09,2023,인천,질병,3,13,16
A15,2019,광주,질병,8,8,16
A15,2019,대구,질병,6,3,9
A15,2019,대전,질병,3,5,8
A15,2019,부산,질병,2,4,6
A15,2019,서울,질병,36,30,66
A15,2019,인천,질병,0,1,1
A15,2020,광주,질병,1,11,12
A15,2020,대구,질병,2,0,2
A15,2020,대전,질병,2,6,8
A15,2020,서울,질병,30,27,57
A15,2020,인천,질병,0,1,1
A15,2021,광주,질병,7,2,9
A15,2021,대구,질병,1,2,3
A15,2021,대전,질병,0,1,1
A15,2021,부산,질병,5,3,8
A15,2021,서울,질병,14,15,29
A15,2021,인천,질병,0,1,1
A15,2022,광주,질병,3,0,3
A15,2022,대구,질병,2,2,4
A15,2022,대전,질병,0,2,2
A15,2022,부산,질병,2,1,3
A15,2022,서울,질병,16,12,28
A15,2023,대구,질병,5,4,9
A15,2023,대전,질병,0,2,2
A15,2023,부산,질병,6,6,12
A15,2023,서울,질병,18,15,33
A15,2023,인천,질병,1,2,3
A16,2019,광주,질병,6,10,16
A16,2019,대구,질병,6,5,11
A16,2019,대전,질병,2,8,10
A16,2019,부산,질병,2,1,3
A16,2019,서울,질병,5,8,13
A16,2020,광주,질병,4,10,14
A16,2020,대구,질병,2,2,4
A16,2020,대전,질병,3,2,5
A16,2020,서울,질병,4,7,11
A16,2021,광주,질병,3,8,11
A16,2021,대구,질병,4,0,4
A16,2021,대전,질병,1,1,2
A16,2021,부산,질병,1,3,4
A16,2021,서울,질병,3,4,7
A16,2022,광주,질병,0,4,4
A16,2022,대구,질병,4,0,4
A16,2022,대전,질병,0,3,3
A16,2022,부산,질병,1,0,1
A16,2022,서울,질병,7,4,11
A16,2023,광주,질병,5,1,6
A16,2023,대구,질병,2,1,3
A16,2023,대전,질병,3,1,4
A16,2023,부산,질병,1,0,1
A16,2023,서울,질병,7,7,14
A17,2019,서울,질병,0,1,1
A17,2020,광주,질병,0,1,1
A17,2020,서울,질병,2,1,3
A17,2023,광주,질병,0,1,1
A18,2019,광주,질병,1,0,1
A18,2019,대구,질병,1,1,2
A18,2019,부산,질병,3,0,3
A18,2019,서울,질병,7,10,17
A18,2020,광주,질병,2,0,2
A18,2020,대구,질병,3,2,5
A18,2020,서울,질병,5,6,11
A18,2021,광주,질병,0,1,1
A18,2021,서울,질병,0,3,3
A18,2022,서울,질병,2,0,2
A18,2023,서울,질병,2,8,10
A19,2019,광주,질병,0,2,2
A19,2019,대구,질병,0,1,1
A19,2019,서울,질병,2,2,4
A19,2020,광주,질병,0,1,1
A19,2020,서울,질병,0,1,1
A19,2021,광주,질병,1,0,1
A19,2021,대구,질병,0,2,2
A19,2022,서울,질병,1,0,1
A19,2023,서울,질병,1,3,4
A20,2019,서울,질병,1,0,1
A26,2019,광주,질병,1,0,1
A27,2019,서울,질병,1,0,1
A27,2021,대전,질병,1,0,1
A31,2019,광주,질병,7,2,9
A31,2019,대구,질병,2,1,3
A31,2019,대전,질병,2,1,3
A31,2019,부산,질병,0,2,2
A31,2019,서울,질병,13,11,24
A31,2020,광주,질병,2,1,3
A31,2020,대전,질병,0,3,3
A31,2020,서울,질병,9,20,29
A31,2021,광주,질병,2,2,4
A31,2021,부산,질병,1,0,1
A31,2021,서울,질병,11,15,26
A31,2022,광주,질병,3,1,4
A31,2022,부산,질병,0,1,1
A31,2022,서울,질병,12,14,26
A31,2022,인천,질병,1,0,1
A31,2023,대전,질병,0,1,1
A31,2023,부산,질병,1,0,1
A31,2023,서울,질병,14,18,32
A32,2020,서울,질병,0,1,1
A32,2022,서울,질병,1,0,1
A36,2020,서울,질병,0,1,1
A37,2019,광주,질병,1,0,1
A37,2019,대구,질병,0,1,1
A39,2019,서울,질병,0,1,1
A39,2022,서울,질병,1,0,1
A40,2019,서울,질병,4,2,6
A40,2020,서울,질병,0,1,1
A40,2021,대구,질병,0,1,1
A40,2021,서울,질병,3,4,7
A40,2022,서울,질병,7,5,12
A40,2023,서울,질병,5,7,12
A41,2019,광주,질병,8,19,27
A41,2019,대구,질병,12,16,28
A41,2019,대전,질병,9,4,13
A41,2019,부산,질병,6,1,7
A41,2019,서울,질병,106,103,209
A41,2019,인천,질병,1,1,2
A41,2020,광주,질병,16,6,22
A41,2020,대구,질병,12,5,17
A41,2020,대전,질병,9,7,16
A41,2020,서울,질병,143,108,251
A41,2020,인천,질병,2,1,3
A41,2021,광주,질병,9,11,20
A41,2021,대구,질병,12,6,18
A41,2021,대전,질병,4,8,12
A41,2021,부산,질병,7,1,8
A41,2021,서울,질병,81,79,160
A41,2022,광주,질병,5,7,12
A41,2022,대구,질병,14,4,18
A41,2022,대전,질병,3,2,5
A41,2022,부산,질병,3,1,4
A41,2022,서울,질병,117,82,199
A41,2023,광주,질병,5,13,18
A41,2023,대구,질병,13,10,23
A41,2023,대전,질병,6,0,6
A41,2023,부산,질병,6,1,7
A41,2023,서울,질병,126,105,231
A42,2019,서울,질병,2,3,5
A42,2020,광주,질병,0,1,1
A42,2020,서울,질병,1,2,3
A42,2021,대전,질병,1,0,1
A42,2021,서울,질병,3,0,3
A42,2022,서울,질병,3,2,5
A42,2023,서울,질병,2,5,7
A46,2019,광주,질병,1,0,1
A46,2019,서울,질병,0,2,2
A46,2020,광주,질병,1,1,2
A46,2020,대구,질병,1,0,1
A46,2020,서울,질병,0,2,2
A46,2022,대구,질병,1,0,1
A46,2022,서울,질병,0,1,1
A46,2023,서울,질병,1,0,1
A48,2019,광주,질병,1,0,1
A48,2019,대구,질병,0,1,1
A48,2019,서울,질병,2,0,2
A48,2020,광주,질병,0,3,3
A48,2020,대구,질병,1,0,1
A48,2021,인천,질병,1,0,1
A48,2022,대구,질병,2,0,2
A48,2022,서울,질병,1,1,2
A49,2019,광주,질병,0,1,1
A49,2019,대구,질병,0,2,2
A49,2019,대전,질병,0,1,1
A49,2019,서울,질병,221,154,375
A49,2020,광주,질병,1,3,4
A49,2020,대구,질병,2,0,2
A49,2020,대전,질병,3,0,3
A49,2020,서울,질병,291,208,499
A49,2021,광주,질병,1,3,4
A49,2021,대구,질병,0,1,1
A49,2021,서울,질병,225,151,376
A49,2022,광주,질병,2,5,7
A49,2022,대구,질병,1,0,1
A49,2022,부산,질병,0,1,1
A49,2022,서울,질병,196,129,325
A49,2023,광주,질병,3,4,7
A49,2023,대구,질병,2,4,6
A49,2023,서울,질병,236,199,435
A51,2020,대전,질병,1,0,1
A51,2021,대전,질병,1,0,1
A51,2021,서울,질병,1,0,1
A52,2019,대전,질병,0,1,1
A52,2019,서울,질병,3,6,9
A52,2020,대전,질병,0,1,1
A52,2020,서울,질병,2,0,2
A52,2021,대구,질병,0,2,2
A52,2021,서울,질병,2,0,2
A52,2022,서울,질병,2,2,4
A52,2023,서울,질병,3,1,4
A53,2019,대전,질병,0,2,2
A53,2019,서울,질병,3,0,3
A53,2020,대전,질병,0,1,1
A53,2020,서울,질병,0,1,1
A53,2021,대전,질병,0,1,1
A53,2021,서울,질병,3,0,3
A53,2022,서울,질병,1,2,3
A53,2023,서울,질병,4,3,7
A54,2023,서울,질병,0,1,1
A56,2020,대전,질병,1,0,1
A60,2019,서울,질병,2,0,2
A60,2022,서울,질병,0,1,1
A60,2023,서울,질병,2,0,2
A63,2019,대전,질병,1,0,1
A63,2019,서울,질병,2,2,4
A63,2020,광주,질병,1,0,1
A63,2020,서울,질병,0,1,1
A63,2021,서울,질병,0,4,4
A63,2022,대구,질병,1,0,1
A63,2022,부산,질병,1,0,1
A63,2022,서울,질병,0,3,3
A63,2023,대구,질병,1,0,1
A68,2019,광주,질병,0,1,1
A68,2020,광주,질병,1,0,1
A75,2019,광주,질병,0,2,2
A75,2019,대구,질병,1,2,3
A75,2019,대전,질병,2,4,6
A75,2019,부산,질병,2,0,2
A75,2019,서울,질병,0,1,1
A75,2020,광주,질병,0,2,2
A75,2020,대구,질병,1,4,5
A75,2020,대전,질병,1,2,3
A75,2021,광주,질병,0,2,2
A75,2021,대구,질병,0,2,2
A75,2021,대전,질병,0,1,1
A75,2021,부산,질병,3,1,4
A75,2022,광주,질병,2,0,2
A75,2022,대구,질병,1,0,1
A75,2022,대전,질병,2,2,4
A75,2022,부산,질병,1,1,2
A75,2022,서울,질병,1,0,1
A75,2023,광주,질병,0,2,2
A75,2023,대구,질병,1,1,2
A75,2023,대전,질병,1,5,6
A75,2023,부산,질병,3,1,4
A75,2023,서울,질병,0,1,1
A79,2021,부산,질병,1,0,1
A81,2019,서울,질병,2,0,2
A81,2022,광주,질병,0,1,1
A81,2022,서울,질병,0,2,2
A83,2023,광주,질병,0,1,1
A86,2019,광주,질병,1,0,1
A86,2019,서울,질병,3,0,3
A86,2020,서울,질병,1,0,1
A86,2022,서울,질병,2,0,2
A87,2019,광주,질병,0,1,1
A87,2019,대구,질병,0,1,1
A87,2019,서울,질병,1,1,2
A87,2020,광주,질병,1,0,1
A87,2021,광주,질병,0,1,1
A87,2022,광주,질병,0,1,1
A87,2022,서울,질병,1,0,1
A87,2023,광주,질병,0,2,2
A87,2023,서울,질병,0,1,1
A93,2022,대구,질병,1,0,1
A93,2023,대구,질병,1,0,1
A93,2023,서울,질병,1,0,1
A98,2019,광주,질병,1,0,1
A99,2019,부산,질병,1,0,1
B00,2019,광주,질병,0,8,8
B00,2019,대구,질병,0,2,2
B00,2019,대전,질병,8,4,12
B00,2019,서울,질병,6,13,19
B00,2020,광주,질병,2,3,5
B00,2020,대전,질병,4,4,8
B00,2020,서울,질병,25,21,46
B00,2021,대구,질병,2,1,3
B00,2021,대전,질병,4,2,6
B00,2021,부산,질병,1,0,1
B00,2021,서울,질병,20,22,42
B00,2022,광주,질병,1,1,2
B00,2022,대구,질병,2,0,2
B00,2022,대전,질병,4,3,7
B00,2022,부산,질병,2,0,2
B00,2022,서울,질병,29,23,52
B00,2023,광주,질병,2,2,4
B00,2023,대구,질병,2,1,3
B00,2023,대전,질병,0,2,2
B00,2023,서울,질병,31,24,55
B01,2023,광주,질병,0,1,1
B01,2023,대구,질병,0,1,1
B02,2019,광주,질병,2,8,10
B02,2019,대구,질병,12,10,22
B02,2019,대전,질병,5,2,7
B02,2019,부산,질병,1,1,2
B02,2019,서울,질병,37,23,60
B02,2019,인천,질병,1,1,2
B02,2020,광주,질병,7,6,13
B02,2020,대구,질병,6,6,12
B02,2020,대전,질병,4,1,5
B02,2020,서울,질병,28,16,44
B02,2020,인천,질병,0,2,2
B02,2021,광주,질병,2,7,9
B02,2021,대구,질병,7,2,9
B02,2021,대전,질병,3,6,9
B02,2021,부산,질병,5,2,7
B02,2021,서울,질병,15,13,28
B02,2021,인천,질병,0,1,1
B02,2022,광주,질병,6,6,12
B02,2022,대구,질병,4,5,9
B02,2022,대전,질병,1,2,3
B02,2022,부산,질병,2,1,3
B02,2022,서울,질병,17,12,29
B02,2023,광주,질병,1,3,4
B02,2023,대구,질병,3,4,7
B02,2023,대전,질병,1,2,3
B02,2023,서울,질병,12,16,28
B02,2023,인천,질병,0,1,1
B07,2019,대전,질병,1,2,3
B07,2019,서울,질병,4,0,4
B07,2020,대구,질병,2,2,4
B07,2021,대구,질병,0,1,1
B07,2021,서울,질병,4,0,4
B07,2021,인천,질병,0,1,1
B07,2022,서울,질병,4,1,5
B07,2023,대구,질병,2,0,2
B07,2023,대전,질병,0,1,1
B07,2023,서울,질병,8,5,13
B08,2019,광주,질병,0,86,86
B08,2020,광주,질병,0,4,4
B08,2021,서울,질병,1,1,2
B08,2022,서울,질병,1,1,2
B08,2023,서울,질병,2,1,3
B09,2019,서울,질병,1,0,1
B09,2020,대구,질병,0,1,1
B09,2021,서울,질병,0,1,1
B15,2019,광주,질병,0,1,1
B15,2019,대전,질병,2,12,14
B15,2019,서울,질병,1,3,4
B15,2020,광주,질병,0,2,2
B15,2020,서울,질병,0,2,2
B15,2021,대전,질병,0,1,1
B15,2021,서울,질병,2,2,4
B15,2022,서울,질병,2,2,4
B15,2023,서울,질병,1,3,4
B16,2023,서울,질병,0,1,1
B17,2019,광주,질병,0,1,1
B17,2019,대구,질병,1,1,2
B17,2019,서울,질병,4,9,13
B17,2020,대구,질병,1,10,11
B17,2020,서울,질병,4,8,12
B17,2021,광주,질병,0,1,1
B17,2021,대전,질병,0,1,1
B17,2021,서울,질병,3,3,6
B17,2022,광주,질병,0,1,1
B17,2022,대구,질병,1,1,2
B17,2022,대전,질병,0,2,2
B17,2022,부산,질병,1,0,1
B17,2022,서울,질병,3,3,6
B17,2023,광주,질병,0,1,1
B17,2023,대전,질병,0,1,1
B17,2023,부산,질병,1,0,1
B17,2023,서울,질병,1,3,4
B18,2019,광주,질병,2,3,5
B18,2019,대구,질병,3,19,22
B18,2019,대전,질병,4,4,8
B18,2019,부산,질병,7,4,11
B18,2019,서울,질병,248,182,430
B18,2019,인천,질병,1,0,1
B18,2020,광주,질병,3,3,6
B18,2020,대구,질병,6,10,16
B18,2020,대전,질병,7,1,8
B18,2020,서울,질병,238,153,391
B18,2020,인천,질병,0,1,1
B18,2021,광주,질병,0,1,1
B18,2021,대구,질병,10,7,17
B18,2021,대전,질병,5,3,8
B18,2021,부산,질병,7,6,13
B18,2021,서울,질병,216,110,326
B18,2022,대구,질병,11,5,16
B18,2022,대전,질병,1,2,3
B18,2022,부산,질병,0,5,5
B18,2022,서울,질병,196,132,328
B18,2023,광주,질병,2,1,3
B18,2023,대구,질병,5,4,9
B18,2023,대전,질병,5,1,6
B18,2023,부산,질병,2,1,3
B18,2023,서울,질병,182,127,309
B18,2023,인천,질병,0,3,3
B19,2019,광주,질병,0,2,2
B20,2019,서울,질병,0,1,1
B20,2020,서울,질병,1,0,1
B20,2023,서울,질병,1,0,1
B22,2019,서울,질병,0,1,1
B23,2019,서울,질병,1,0,1
B24,2019,서울,질병,3,0,3
B24,2020,서울,질병,2,3,5
B24,2021,서울,질병,1,1,2
B24,2023,서울,질병,2,0,2
B25,2019,서울,질병,3,1,4
B25,2020,서울,질병,8,4,12
B25,2021,부산,질병,0,1,1
B25,2021,서울,질병,5,6,11
B25,2022,광주,질병,1,0,1
B25,2022,서울,질병,6,8,14
B25,2023,대전,질병,0,1,1
B25,2023,서울,질병,13,5,18
B26,2019,광주,질병,0,1,1
B27,2019,대구,질병,0,1,1
B27,2019,서울,질병,1,1,2
B27,2020,대구,질병,0,1,1
B27,2022,대전,질병,0,1,1
B27,2022,서울,질병,1,0,1
B27,2023,서울,질병,1,0,1
B30,2019,서울,질병,2,0,2
B30,2020,대구,질병,0,1,1
B30,2021,서울,질병,0,4,4
B30,2022,서울,질병,1,0,1
B30,2023,서울,질병,0,1,1
B33,2020,서울,질병,0,1,1
B34,2019,광주,질병,0,63,63
B34,2019,서울,질병,0,2,2
B34,2020,광주,질병,0,7,7
B34,2020,대구,질병,0,1,1
B34,2020,서울,질병,1,2,3
B34,2021,서울,질병,1,0,1
B34,2022,서울,질병,0,3,3
B34,2023,광주,질병,1,0,1
B34,2023,서울,질병,2,2,4
B35,2019,대구,질병,1,0,1
B35,2019,대전,질병,120,67,187
B35,2019,서울,질병,122,43,165
B35,2020,광주,질병,1,0,1
B35,2020,대구,질병,1,1,2
B35,2020,대전,질병,113,36,149
B35,2020,서울,질병,96,57,153
B35,2021,대구,질병,8,1,9
B35,2021,대전,질병,110,35,145
B35,2021,부산,질병,2,0,2
B35,2021,서울,질병,88,46,134
B35,2022,대구,질병,2,0,2
B35,2022,대전,질병,54,16,70
B35,2022,부산,질병,1,0,1
B35,2022,서울,질병,101,68,169
B35,2023,대전,질병,8,12,20
B35,2023,서울,질병,194,118,312
B35,2023,인천,질병,0,1,1
B36,2019,서울,질병,4,3,7
B36,2020,서울,질병,0,1,1
B36,2021,서울,질병,3,0,3
B36,2022,서울,질병,0,1,1
B36,2023,서울,질병,8,0,8
B37,2019,광주,질병,0,2,2
B37,2019,대구,질병,2,0,2
B37,2019,대전,질병,1,3,4
B37,2019,부산,질병,2,0,2
B37,2019,서울,질병,51,27,78
B37,2019,인천,질병,1,0,1
B37,2020,대구,질병,1,1,2
B37,2020,대전,질병,4,2,6
B37,2020,서울,질병,57,36,93
B37,2021,대구,질병,1,0,1
B37,2021,대전,질병,5,1,6
B37,2021,서울,질병,63,37,100
B37,2022,대구,질병,1,0,1
B37,2022,대전,질병,1,0,1
B37,2022,부산,질병,1,0,1
B37,2022,서울,질병,52,35,87
B37,2023,대구,질병,4,0,4
B37,2023,대전,질병,3,1,4
B37,2023,부산,질병,1,1,2
B37,2023,서울,질병,57,30,87
B39,2021,대구,질병,1,0,1
B40,2019,서울,질병,1,0,1
B40,2023,서울,질병,0,2,2
B44,2019,대구,질병,4,1,5
B44,2019,대전,질병,1,0,1
B44,2019,서울,질병,11,5,16
B44,2020,광주,질병,0,1,1
B44,2020,대구,질병,1,0,1
B44,2020,대전,질병,0,1,1
B44,2020,서울,질병,6,4,10
B44,2021,서울,질병,8,4,12
B44,2022,서울,질병,5,7,12
B44,2023,대전,질병,1,0,1
B44,2023,서울,질병,17,14,31
B45,2022,서울,질병,0,1,1
B46,2023,광주,질병,0,1,1
B46,2023,서울,질병,0,1,1
B48,2020,서울,질병,0,1,1
B48,2021,서울,질병,4,2,6
B48,2022,서울,질병,6,3,9
B48,2023,서울,질병,4,3,7
B49,2019,대구,질병,1,0,1
B49,2019,대전,질병,1,0,1
B49,2019,서울,질병,9,9,18
B49,2020,대전,질병,3,3,6
B49,2020,서울,질병,6,2,8
B49,2021,대구,질병,0,1,1
B49,2021,대전,질병,4,1,5
B49,2021,서울,질병,11,10,21
B49,2022,대전,질병,1,0,1
B49,2022,서울,질병,9,7,16
B49,2023,광주,질병,1,0,1
B49,2023,대전,질병,2,0,2
B49,2023,서울,질병,8,6,14
B49,2023,인천,질병,0,1,1
B54,2023,서울,질병,0,1,1
B59,2019,서울,질병,1,0,1
B59,2020,서울,질병,2,1,3
B66,2019,서울,질병,1,0,1
B66,2020,서울,질병,2,3,5
B66,2023,서울,질병,1,0,1
B69,2020,서울,질병,0,1,1
B69,2022,서울,질병,1,0,1
B70,2019,서울,질병,0,1,1
B70,2020,서울,질병,1,0,1
B70,2022,서울,질병,1,0,1
B70,2022,인천,질병,0,2,2
B75,2020,서울,질병,0,1,1
B81,2021,대구,질병,1,0,1
B83,2019,서울,질병,2,0,2
B83,2020,서울,질병,1,0,1
B83,2021,서울,질병,0,2,2
B83,2022,서울,질병,3,0,3
B83,2023,서울,질병,3,0,3
B86,2019,광주,질병,1,0,1
B86,2019,대전,질병,6,2,8
B86,2019,부산,질병,1,0,1
B86,2019,서울,질병,7,4,11
B86,2020,대구,질병,1,2,3
B86,2020,대전,질병,15,2,17
B86,2020,서울,질병,6,4,10
B86,2021,대전,질병,4,1,5
B86,2021,서울,질병,1,2,3
B86,2022,대구,질병,1,2,3
B86,2022,서울,질병,2,4,6
B86,2023,대구,질병,2,2,4
B86,2023,서울,질병,7,7,14
B87,2021,서울,질병,1,0,1
