진료년도,주상병코드,성별,입원외래구분,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2023,A26,여,외래,149 ,299 ,298 ,5759200 ,9582720 
2023,A26,여,입원,2 ,2 ,19 ,2656630 ,3479690 
2023,A27,남,외래,14 ,29 ,29 ,927920 ,1711690 
2023,A27,남,입원,8 ,10 ,51 ,28215940 ,36906970 
2023,A27,여,외래,13 ,21 ,21 ,839880 ,1369840 
2023,A27,여,입원,3 ,3 ,26 ,5462910 ,7926430 
2023,A28,남,외래,84 ,151 ,151 ,3787190 ,6767510 
2023,A28,남,입원,2 ,2 ,2 ,436560 ,524020 
2023,A28,여,외래,191 ,299 ,299 ,6649150 ,11359280 
2023,A28,여,입원,3 ,3 ,51 ,19896210 ,25053950 
2023,A30,남,외래,72 ,118 ,118 ,2639460 ,3742090 
2023,A30,남,입원,4 ,6 ,135 ,6445790 ,8787170 
2023,A30,여,외래,43 ,62 ,62 ,1614100 ,2705550 
2023,A30,여,입원,3 ,9 ,321 ,13084160 ,18337760 
2023,A31,남,외래,9918 ,49452 ,49144 ,1640472940 ,3720254210 
2023,A31,남,입원,760 ,1249 ,15068 ,5075003540 ,6479711760 
2023,A31,여,외래,22214 ,110066 ,109453 ,3480609490 ,8048646040 
2023,A31,여,입원,1238 ,1852 ,20375 ,5829155160 ,7585119050 
2023,A32,남,외래,14 ,30 ,29 ,780040 ,1762050 
2023,A32,남,입원,14 ,49 ,510 ,258972320 ,310857940 
2023,A32,여,외래,14 ,41 ,41 ,1611120 ,3094210 
2023,A32,여,입원,14 ,22 ,393 ,228838810 ,285065650 
2023,A33,여,외래,1 ,1 ,1 ,27050 ,31350 
2023,A35,남,외래,250 ,306 ,306 ,8880220 ,13535960 
2023,A35,남,입원,11 ,36 ,528 ,319730070 ,410347220 
2023,A35,여,외래,191 ,226 ,226 ,5898480 ,9149340 
2023,A35,여,입원,15 ,27 ,467 ,175311140 ,229170810 
2023,A36,남,외래,7 ,12 ,12 ,149840 ,322340 
2023,A36,남,입원,1 ,1 ,2 ,831320 ,1358610 
2023,A36,여,외래,6 ,12 ,12 ,404870 ,723070 
2023,A36,여,입원,1 ,1 ,4 ,473910 ,550420 
2023,A37,남,외래,138 ,220 ,219 ,4314210 ,6406350 
2023,A37,남,입원,101 ,101 ,559 ,123020030 ,140290810 
2023,A37,여,외래,144 ,211 ,210 ,4401660 ,6424410 
2023,A37,여,입원,100 ,101 ,572 ,116705700 ,130744080 
2023,A38,남,외래,362 ,670 ,669 ,12734250 ,19499900 
2023,A38,남,입원,34 ,38 ,139 ,32725740 ,36627130 
2023,A38,여,외래,275 ,454 ,454 ,7415070 ,11158100 
2023,A38,여,입원,35 ,38 ,130 ,32597970 ,35271230 
2023,A39,남,외래,9 ,23 ,23 ,403240 ,732640 
2023,A39,남,입원,4 ,10 ,165 ,29634380 ,35568210 
2023,A39,여,외래,2 ,4 ,4 ,189290 ,269990 
2023,A39,여,입원,2 ,2 ,22 ,8854790 ,11345000 
2023,A40,남,외래,66 ,174 ,174 ,4972910 ,8869080 
2023,A40,남,입원,102 ,145 ,1887 ,776968490 ,958453850 
2023,A40,여,외래,78 ,139 ,138 ,6014470 ,10319220 
2023,A40,여,입원,113 ,169 ,2326 ,1017656570 ,1230361720 
2023,A41,남,외래,3788 ,6877 ,6849 ,347895650 ,572198360 
2023,A41,남,입원,22862 ,47293 ,467664 ,123770000000 ,151561000000 
2023,A41,여,외래,4378 ,8482 ,8455 ,448948140 ,730931020 
2023,A41,여,입원,32943 ,68263 ,674303 ,142878000000 ,177543000000 
2023,A42,남,외래,304 ,954 ,946 ,33949300 ,72718230 
2023,A42,남,입원,50 ,65 ,659 ,275748980 ,357106260 
2023,A42,여,외래,442 ,1305 ,1299 ,44936350 ,97234230 
2023,A42,여,입원,67 ,92 ,861 ,334878590 ,437701650 
2023,A43,남,외래,20 ,69 ,69 ,1809280 ,4303590 
2023,A43,남,입원,7 ,8 ,147 ,44366890 ,60407680 
2023,A43,여,외래,14 ,50 ,50 ,2033740 ,4123900 
2023,A43,여,입원,6 ,15 ,361 ,110143750 ,136058570 
2023,A44,남,외래,7 ,12 ,12 ,217380 ,573180 
2023,A44,남,입원,2 ,3 ,17 ,5171790 ,7165540 
2023,A44,여,외래,15 ,24 ,24 ,442710 ,1044030 
2023,A46,남,외래,979 ,2020 ,2017 ,37909460 ,66906950 
2023,A46,남,입원,84 ,94 ,516 ,119077340 ,158689170 
2023,A46,여,외래,1353 ,2843 ,2839 ,51150940 ,92969760 
2023,A46,여,입원,124 ,134 ,632 ,142347120 ,188337300 
2023,A48,남,외래,4585 ,9604 ,9604 ,160654270 ,225563110 
2023,A48,남,입원,128 ,181 ,2078 ,800814390 ,1011939100 
2023,A48,여,외래,15572 ,26001 ,26001 ,814588410 ,1180287220 
2023,A48,여,입원,89 ,122 ,1240 ,379382980 ,477330390 
2023,A49,남,외래,29049 ,61008 ,60993 ,1118093010 ,1670460040 
2023,A49,남,입원,2314 ,3074 ,27304 ,8015383590 ,9874063260 
2023,A49,여,외래,82655 ,142327 ,142300 ,4698105680 ,6942393490 
2023,A49,여,입원,2311 ,3071 ,28514 ,7957077880 ,9872072340 
2023,A50,남,외래,80 ,247 ,247 ,9048460 ,14012710 
2023,A50,남,입원,13 ,13 ,99 ,77651670 ,78276310 
2023,A50,여,외래,64 ,115 ,115 ,3489370 ,5585760 
2023,A50,여,입원,9 ,11 ,102 ,75812230 ,76199850 
2023,A51,남,외래,3676 ,8383 ,8367 ,384690240 ,615362330 
2023,A51,남,입원,160 ,198 ,422 ,96103970 ,126244350 
2023,A51,여,외래,1440 ,3022 ,3017 ,112247140 ,189930370 
2023,A51,여,입원,53 ,58 ,124 ,29685190 ,39439580 
2023,A52,남,외래,1050 ,2929 ,2923 ,73366290 ,142446360 
2023,A52,남,입원,60 ,94 ,1063 ,280173440 ,339605290 
2023,A52,여,외래,934 ,2487 ,2483 ,41186460 ,89864440 
2023,A52,여,입원,25 ,28 ,574 ,113263670 ,139239180 
2023,A53,남,외래,6583 ,16126 ,16094 ,470113790 ,828070580 
2023,A53,남,입원,116 ,118 ,544 ,50186180 ,64460260 
2023,A53,여,외래,4495 ,10208 ,10183 ,216055350 ,424957340 
2023,A53,여,입원,65 ,70 ,265 ,47789270 ,63822100 
2023,A54,남,외래,5904 ,11090 ,11088 ,480905400 ,690507940 
2023,A54,남,입원,3 ,3 ,15 ,3878140 ,4919350 
2023,A54,여,외래,2069 ,3162 ,3160 ,97936450 ,157283930 
2023,A54,여,입원,60 ,66 ,318 ,85859860 ,113259550 
2023,A55,남,외래,41 ,77 ,77 ,3718320 ,6635100 
2023,A55,남,입원,1 ,1 ,5 ,1868350 ,2577190 
2023,A55,여,외래,68 ,94 ,93 ,3792320 ,5830500 
2023,A56,남,외래,11188 ,19796 ,19796 ,669156830 ,956747670 
2023,A56,남,입원,1 ,1 ,5 ,1232300 ,1926240 
2023,A56,여,외래,18118 ,27140 ,27133 ,831944650 ,1240987210 
2023,A56,여,입원,28 ,29 ,191 ,37431910 ,47362510 
2023,A57,남,외래,93 ,177 ,177 ,5631460 ,8696610 
2023,A57,남,입원,1 ,1 ,1 ,103730 ,135230 
2023,A57,여,외래,43 ,69 ,69 ,2527890 ,4102260 
2023,A57,여,입원,1 ,1 ,4 ,1108780 ,1334620 
2023,A58,남,외래,62 ,103 ,103 ,3370380 ,6503990 
2023,A58,남,입원,4 ,4 ,16 ,3645890 ,4986360 
2023,A58,여,외래,33 ,44 ,44 ,1669390 ,2944790 
2023,A58,여,입원,4 ,4 ,7 ,3095870 ,3845110 
2023,A59,남,외래,3479 ,4644 ,4644 ,91871310 ,130538190 
2023,A59,남,입원,2 ,2 ,2 ,1209910 ,1626160 
