병원,내원환자수,일반병상수,전문의수,환자수_대비_병상수,환자수_대비_전문의수
광주,589088,512,60,1150.5625,9818.133333333333
대구,554971,430,48,1290.6302325581396,11561.895833333334
대전,478088,359,36,1331.7214484679666,13280.222222222223
부산,619694,433,63,1431.1639722863742,9836.412698412698
인천,176625,130,20,1358.6538461538462,8831.25
서울,1382302,835,177,1655.4514970059881,7809.61581920904
