최적화방법,병원명,병상수,가동률,예측환자수
현재상태,광주,702.0,78.63531293320993,201774.28122097004
현재상태,대구,592.0,64.0313479064684,138592.6509761555
현재상태,대전,532.0,46.81254655197065,91071.46868953129
현재상태,부산,610.0,55.82407772264425,124496.06693315506
현재상태,서울,1224.0,61.53228718994025,275126.23909802036
현재상태,인천,174.0,44.804530517121414,28618.893867811305
SciPy_SLSQP,광주,900.2812828860739,61.335596380108456,201774.28122097004
SciPy_SLSQP,대구,618.0629218472752,61.33558959601723,138592.6509761555
SciPy_SLSQP,대전,405.7962754880447,61.335584457517086,91071.46868953129
SciPy_SLSQP,부산,555.0966140648486,61.33558562641797,124496.06693315506
SciPy_SLSQP,서울,1227.9285835923845,61.335583543297375,275126.23909802036
SciPy_SLSQP,인천,126.834322121373,61.335584296772524,28618.893867811305
Genetic_Algorithm,광주,782.9419354197014,70.51622383544365,201774.28122097004
Genetic_Algorithm,대구,740.7132556591365,51.193084414801945,138592.6509761555
Genetic_Algorithm,대전,649.0130176678274,38.38551941886028,91071.46868953129
Genetic_Algorithm,부산,615.2446836578521,55.348974835900044,124496.06693315506
Genetic_Algorithm,서울,853.4754319130385,88.2144166964745,275126.23909802036
Genetic_Algorithm,인천,191.64565625751487,40.70059503451892,28618.893867811305
