Model,Accuracy,F1_Score,CV_Mean,CV_Std
Logistic Regression,0.6153846153846154,0.5448147514332164,0.5601262191623637,0.015332055185783663
XGBoost,0.5480769230769231,0.5125616370808678,0.47096959265633964,0.06038351573284041
Neural Network,0.5384615384615384,0.4821687939725075,0.47105565117613307,0.05086539835797627
LightGBM,0.5192307692307693,0.4758098926037857,0.5094090648307517,0.059619889415754905
Random Forest,0.5096153846153846,0.4831104044686722,0.47111302352266204,0.05089800260276456
