모델,병상종류,MSE,MAE,R2
RandomForest,격리병실,14.165866666666666,3.525,0.8626525181793698
RandomForest,무균치료실,0.06418333333333336,0.11166666666666669,0.88447
RandomForest,물리치료실,38.295662499999985,4.762499999999998,0.7962996675531916
RandomForest,분만실,1.4372833333333335,0.935,0.7986684824902723
RandomForest,수술실,1.146445833333334,0.7324999999999999,0.9193905273437499
RandomForest,신생아실,5.390158333333332,1.7366666666666664,0.8134175961538462
RandomForest,응급실,4.192129166666668,1.6275000000000002,0.9257665272995573
RandomForest,인공신장실,9.54050833333333,2.678333333333333,0.9174577505407354
RandomForest,일반입원실_상급,2.560395833333333,1.4791666666666667,0.7784272836538462
RandomForest,일반입원실_일반,3477.7810166666677,40.51833333333334,0.9208902513754152
RandomForest,정신과개방_일반,0.5776500000000003,0.335,0.88447
RandomForest,정신과폐쇄_일반,57.76499999999999,3.350000000000001,0.88447
RandomForest,중환자실_성인,17.931362499999988,2.722499999999999,0.91075223973455
RandomForest,회복실,0.811645833333333,0.8091666666666665,0.9205998641304348
RandomForest,총병상수,6333.920616666667,51.98,0.9166990065450975
GradientBoosting,격리병실,1.2871369839903281e-07,0.0003115792555435143,0.9999999987520353
GradientBoosting,무균치료실,6.826052284164495e-10,1.9473703471561285e-05,0.9999999987713106
GradientBoosting,물리치료실,2.816838138390874e-07,0.0004635926552536418,0.9999999985016819
GradientBoosting,분만실,8.771477185206859e-09,6.8157962150708e-05,0.9999999987713106
GradientBoosting,수술실,2.0973179500993382e-08,0.00011607990896744802,0.9999999985253233
GradientBoosting,신생아실,3.54954718774145e-08,0.0001518948870779855,0.9999999987713106
GradientBoosting,응급실,7.101808719251324e-08,0.00020657424903484337,0.9999999987424244
GradientBoosting,인공신장실,1.422299089896995e-07,0.00032715821832076877,0.99999999876946
GradientBoosting,일반입원실_상급,1.4198188751400235e-08,0.00010126325805304148,0.9999999987713106
GradientBoosting,일반입원실_일반,5.8910088677617485e-05,0.006095063435227625,0.9999999986599609
GradientBoosting,정신과개방_일반,6.14344705567021e-09,5.842111041446177e-05,0.9999999987713106
GradientBoosting,정신과폐쇄_일반,6.143447055805121e-07,0.0005842111041484665,0.9999999987713106
GradientBoosting,중환자실_성인,2.905981412383864e-07,0.00043285507129627493,0.9999999985536384
GradientBoosting,회복실,1.2559936202827398e-08,9.347377666357737e-05,0.9999999987713106
GradientBoosting,총병상수,0.00010280066313840383,0.008006563353433194,0.99999999864801
Ridge,격리병실,0.0028065156744706897,0.046720413718878064,0.9999727889673361
Ridge,무균치료실,1.1766561368651315e-06,0.0009922049621798879,0.9999978820189537
Ridge,물리치료실,0.05401295319963755,0.18259134783920672,0.9997126970574487
Ridge,분만실,0.0018998962028209572,0.030412907572919295,0.9997338666797605
Ridge,수술실,1.2024522290211797e-05,0.003160257140485623,0.9999991545257765
Ridge,신생아실,0.006463545205007225,0.05567261618892768,0.9997762618967497
Ridge,응급실,0.0007679938831242974,0.023152332910293616,0.9999864005018236
Ridge,인공신장실,0.0025701243265812117,0.04082394960206178,0.9999777638847015
Ridge,일반입원실_상급,0.0010178844979234645,0.024510789696493784,0.9999119138415259
Ridge,일반입원실_일반,0.36444170999489817,0.48467030609020867,0.9999917099748582
Ridge,정신과개방_일반,1.0589905231788137e-05,0.0029766148865398487,0.9999978820189537
Ridge,정신과폐쇄_일반,0.0010589905231787843,0.02976614886539804,0.9999978820189537
Ridge,중환자실_성인,0.000779047547719543,0.022957607050331674,0.9999961225339806
Ridge,회복실,0.00019032533443367767,0.010583981856127448,0.9999813812172836
Ridge,총병상수,0.9952124722653487,0.7555581113583116,0.9999869113945918
ElasticNet,격리병실,0.09040312377235094,0.27506237133735595,0.9991234816978711
ElasticNet,무균치료실,0.0007933464728344968,0.021890950757269833,0.9985719763488979
ElasticNet,물리치료실,1.3130233155095905,0.8948116988523847,0.9930158334281405
ElasticNet,분만실,0.08435562864363488,0.19819278253953362,0.9881836473495298
ElasticNet,수술실,0.0014855237852924646,0.03446698059109391,0.9998955491088466
ElasticNet,신생아실,0.20789892295900422,0.31570167742366984,0.9928034988206499
ElasticNet,응급실,0.028146336197159283,0.1389672893715351,0.9995015897181024
ElasticNet,인공신장실,0.08947476759383399,0.24427887731681844,0.9992258852118774
ElasticNet,일반입원실_상급,0.04268804310201526,0.156768620175446,0.9963058424238641
ElasticNet,일반입원실_일반,7.7284831712600015,2.2325406330814794,0.9998241987180914
ElasticNet,정신과개방_일반,0.0018240080642412115,0.03652687257759829,0.9996351983871518
ElasticNet,정신과폐쇄_일반,0.039030649956160006,0.17952077011785614,0.9999219387000877
ElasticNet,중환자실_성인,0.02047878975562295,0.11954038996076892,0.9998980732156502
ElasticNet,회복실,0.008091813376224583,0.06838795683389105,0.9992084095610215
ElasticNet,총병상수,20.63631260735401,3.449778700902101,0.9997286001127145
DecisionTree,격리병실,10.083333333333334,2.8333333333333335,0.9022353891731754
DecisionTree,무균치료실,0.3333333333333333,0.3333333333333333,0.40000000000000013
DecisionTree,물리치료실,42.833333333333336,5.666666666666667,0.7721631205673759
DecisionTree,분만실,3.0833333333333335,1.1666666666666667,0.5680933852140078
DecisionTree,수술실,4.5,1.6666666666666667,0.68359375
DecisionTree,신생아실,10.111111111111112,2.111111111111111,0.6499999999999999
DecisionTree,응급실,13.583333333333334,3.1666666666666665,0.7594687653713724
DecisionTree,인공신장실,14.916666666666666,2.8333333333333335,0.8709444844989185
DecisionTree,일반입원실_상급,4.444444444444444,1.5555555555555556,0.6153846153846154
