병원,진료과,연도,실제값,ARIMA예측,RF예측,XGB예측,ARIMA_RMSE,ARIMA_MAE,ARIMA_MAPE,ARIMA_R2,ARIMA_Adjusted_R2,RF_RMSE,RF_MAE,RF_MAPE,RF_R2,RF_Adjusted_R2,XGB_RMSE,XGB_MAE,XGB_MAPE,XGB_R2,XGB_Adjusted_R2
광주,순환기내과,2022,4509,6530.133914394323,7140.36,6921.857,5240.9748187205005,4576.049105554163,47.8399907593177,-0.21408514118104094,,4436.434381281371,4428.713333333333,,-31655.335237957872,,4380.426824327419,4372.705403645833,,-28130.24592081706,
광주,순환기내과,2023,14022,6891.0357032859965,7140.36,6921.857,5240.9748187205005,4576.049105554163,47.8399907593177,-0.21408514118104094,,4436.434381281371,4428.713333333333,,-31655.335237957872,,4380.426824327419,4372.705403645833,,-28130.24592081706,
광주,호흡기내과,2022,4094,10349.18434426537,11363.56,11249.141,8749.30695313617,8465.50873994384,1481.109419049012,-21.198493340106502,,6172.211820913816,6159.7,,-12174.277079975967,,6390.248239856366,6379.656575520833,,-12180.678049723307,
광주,호흡기내과,2023,380,11055.83313562231,11363.56,11249.141,8749.30695313617,8465.50873994384,1481.109419049012,-21.198493340106502,,6172.211820913816,6159.7,,-12174.277079975967,,6390.248239856366,6379.656575520833,,-12180.678049723307,
광주,내분비내과,2022,479,781.256892162537,994.66,848.99536,839.7659159438401,725.3789050062567,61.902327988059746,-0.41283730956655473,,1397.062953086853,1382.9733333333334,,-48.80113738538663,,1310.8539027111965,1296.2919921875,,-37.10063552856445,
광주,내분비내과,2023,1892,743.4990821500236,994.66,848.99536,839.7659159438401,725.3789050062567,61.902327988059746,-0.41283730956655473,,1397.062953086853,1382.9733333333334,,-48.80113738538663,,1310.8539027111965,1296.2919921875,,-37.10063552856445,
광주,감염내과,2022,2051,614.5293859466947,2991.44,3504.12,1976.5928997043147,1917.2339681272751,143.32941512637683,-16.53680466802603,,932.7825505897817,704.8333333333334,,-0.2260181373149691,,850.3153728678675,704.8333333333334,,-0.10161825021107991,
광주,감염내과,2023,1107,3504.997322201245,2991.44,3504.12,1976.5928997043147,1917.2339681272751,143.32941512637683,-16.53680466802603,,932.7825505897817,704.8333333333334,,-0.2260181373149691,,850.3153728678675,704.8333333333334,,-0.10161825021107991,
광주,소화기내과,2022,3703,5204.6798049230665,5390.06,4944.979,2328.21120177339,2215.9416535024297,38.1023207702767,-0.06315570424595851,,4355.901434694382,4273.900000000001,,-16.66040282922577,,3972.2433334498,3878.3248697916665,,-11.747588475545248,
광주,소화기내과,2023,8219,5288.796497918207,5390.06,4944.979,2328.21120177339,2215.9416535024297,38.1023207702767,-0.06315570424595851,,4355.901434694382,4273.900000000001,,-16.66040282922577,,3972.2433334498,3878.3248697916665,,-11.747588475545248,
광주,혈액종양내과,2022,3340,6086.126826411376,5245.36,5139.9287,2784.6661104687264,2784.4030380701142,90.90995207966674,-120.14492253890899,,2317.8119873677806,2115.0,,-1.2437477191801694,,3004.534193933754,2785.66796875,,-7.292892773946126,
광주,혈액종양내과,2023,2834,5656.6792497288525,5245.36,5139.9287,2784.6661104687264,2784.4030380701142,90.90995207966674,-120.14492253890899,,2317.8119873677806,2115.0,,-1.2437477191801694,,3004.534193933754,2785.66796875,,-7.292892773946126,
광주,신장내과,2022,5284,13822.078458882981,14364.14,13824.903,8915.717345395464,8908.038253905968,182.8151004120175,-584.3796205820696,,6385.359796999321,6300.5,,-213.47737389550286,,6657.458178513298,6445.149088541667,,-213.89703718821207,
광주,신장내과,2023,4547,13824.998048928956,14364.14,13824.903,8915.717345395464,8908.038253905968,182.8151004120175,-584.3796205820696,,6385.359796999321,6300.5,,-213.47737389550286,,6657.458178513298,6445.149088541667,,-213.89703718821207,
광주,신경과,2022,10983,10233.319217896027,10221.28,10270.804,602.3328068952827,577.070671591694,5.3082310163865785,-13.81304536179199,,2298.063979963156,2265.1733333333336,25.731777433287636,-59156.80467197026,,2224.6296845007814,2186.2151692708335,25.98894973662425,-110940.49439414342,
광주,신경과,2023,10670,10265.539438920585,10221.28,10270.804,602.3328068952827,577.070671591694,5.3082310163865785,-13.81304536179199,,2298.063979963156,2265.1733333333336,25.731777433287636,-59156.80467197026,,2224.6296845007814,2186.2151692708335,25.98894973662425,-110940.49439414342,
광주,소아청소년과,2022,145,692.1439051228651,497.7,21.641674,411.2307460008414,372.13031090779276,235.8274213679645,-164.14719380508646,,2985.106482143988,2828.5333333333333,5023.520096841036,-34.624785486472994,,2605.9004047820385,2431.7145182291665,4732.979751884903,-28.0424147049586,
광주,소아청소년과,2023,209,406.1167166927204,497.7,21.641674,411.2307460008414,372.13031090779276,235.8274213679645,-164.14719380508646,,2985.106482143988,2828.5333333333333,5023.520096841036,-34.624785486472994,,2605.9004047820385,2431.7145182291665,4732.979751884903,-28.0424147049586,
광주,정신건강의학과,2022,0,3.6889463327023513e-31,0.0,3.4160694e-05,3.6889508315825787e-31,3.6889508315798357e-31,,0.0,,186.88,186.88,,0.3333333333333333,,291.9433084837435,291.9433028253067,,0.0,
광주,정신건강의학과,2023,0,3.68895533045732e-31,0.0,3.4160694e-05,3.6889508315825787e-31,3.6889508315798357e-31,,0.0,,186.88,186.88,,0.3333333333333333,,291.9433084837435,291.9433028253067,,0.0,
광주,외과,2022,21293,20398.480384184877,19990.04,20354.293,2371.6462846529666,2063.524549212216,8.938360650507898,-3.0949123602984745,,3236.8081221533685,3223.973333333333,18.38504328638358,-293.9038888748476,,3557.504524296224,3469.76953125,19.866344731489946,-341.7057249546051,
