모델,병상종류,MSE,MAE,R2
RandomForest,격리병실,11.904533333333333,3.193333333333333,0.8845776461082683
RandomForest,무균치료실,0.06826666666666664,0.10666666666666665,0.8771200000000001
RandomForest,물리치료실,35.4812,4.726666666666666,0.8112702127659575
RandomForest,분만실,1.2486666666666666,0.8066666666666666,0.8250894941634241
RandomForest,수술실,1.1362000000000003,0.7500000000000001,0.9201109375
RandomForest,신생아실,5.045133333333334,1.7566666666666666,0.8253607692307692
RandomForest,응급실,4.028666666666665,1.5866666666666662,0.9286610919822922
RandomForest,인공신장실,7.869533333333336,2.2100000000000004,0.9319146359048306
RandomForest,일반입원실_상급,2.1298,1.1166666666666667,0.8156903846153847
RandomForest,일반입원실_일반,3257.1642000000006,41.28333333333333,0.9259086642154463
RandomForest,정신과개방_일반,0.6144,0.32,0.87712
RandomForest,정신과폐쇄_일반,61.44000000000002,3.2000000000000006,0.87712
RandomForest,중환자실_성인,17.59513333333333,2.7899999999999996,0.912425715470759
RandomForest,회복실,0.8996666666666671,0.8366666666666668,0.9119891304347826
RandomForest,총병상수,6178.059266666667,57.616666666666674,0.9187488278298889
GradientBoosting,격리병실,0.0036720087849149365,0.05262692640296878,0.9999643974370437
GradientBoosting,무균치료실,1.947370347157211e-05,0.0032891829001855913,0.9999649473337512
GradientBoosting,물리치료실,0.007310951705855953,0.07163588921753276,0.9999611119590114
GradientBoosting,분만실,0.000250237089609701,0.011512140150649523,0.9999649473337512
GradientBoosting,수술실,0.0005483183865751677,0.018181568299378226,0.999961446363444
GradientBoosting,신생아실,0.001012632580521768,0.025655626621447825,0.9999649473337512
GradientBoosting,응급실,0.002026039522596713,0.03489117971505473,0.9999641232548876
GradientBoosting,인공신장실,0.004057606002946836,0.05525827272311735,0.9999648945407099
GradientBoosting,일반입원실_상급,0.0004050530322087,0.017103751080965512,0.9999649473337512
GradientBoosting,일반입원실_일반,1.6806164831945072,1.0294794955656528,0.9999617706960608
GradientBoosting,정신과개방_일반,0.0001752633312441489,0.009867548700556771,0.9999649473337512
GradientBoosting,정신과폐쇄_일반,0.017526333124415244,0.09867548700556833,0.9999649473337512
GradientBoosting,중환자실_성인,0.0077148413048069376,0.06753830635749007,0.9999616017852934
GradientBoosting,회복실,0.000358316143876913,0.015788077920890542,0.9999649473337512
GradientBoosting,총병상수,2.932748750369937,1.352339133118453,0.9999614297527164
Ridge,격리병실,0.0009727536687549072,0.029077388961895895,0.9999905685073862
Ridge,무균치료실,5.283061539500523e-07,0.0006293317389606812,0.9999990490489229
Ridge,물리치료실,0.012722418932824458,0.08333660626346233,0.999932327558868
Ridge,분만실,0.00053916216138554,0.016414853719618445,0.9999244753392612
Ridge,수술실,6.224731003810802e-06,0.00214552241272011,0.9999995623236013
Ridge,신생아실,0.0020171424953122686,0.03277824294066267,0.9999301758367007
Ridge,응급실,0.0001707863101407184,0.010121551683531868,0.9999969757465986
Ridge,인공신장실,0.0007168048425006617,0.02240017910105922,0.9999937983719467
Ridge,일반입원실_상급,0.0003770136764745478,0.013838483507000307,0.999967373816459
Ridge,일반입원실_일반,0.09491739357490903,0.24392399596578684,0.9999978408959306
Ridge,정신과개방_일반,4.754755385551698e-06,0.001887995216882062,0.9999990490489229
Ridge,정신과폐쇄_일반,0.00047547553855532967,0.018879952168822694,0.9999990490489229
Ridge,중환자실_성인,0.0002660033046883934,0.013965662852353825,0.9999986760515736
Ridge,회복실,6.148756471683973e-05,0.006036654486566577,0.9999939849121473
Ridge,총병상수,0.2566452869248312,0.3933623042655275,0.9999966247118238
ElasticNet,격리병실,0.03738924295638376,0.1835932018639972,0.9996374864674307
ElasticNet,무균치료실,0.0008758554014534456,0.023544965077963702,0.9984234602773838
ElasticNet,물리치료실,0.33795697028783445,0.4309186957474835,0.9982023565410222
ElasticNet,분만실,0.025725841103829736,0.11336146761640464,0.996396380234483
ElasticNet,수술실,0.0014245479620699903,0.03153131310425635,0.999899836471417
ElasticNet,신생아실,0.06835326269991872,0.19583495243941687,0.9976339255219259
ElasticNet,응급실,0.009121702790378617,0.08132224435410211,0.99983847452019
ElasticNet,인공신장실,0.027401531657769203,0.14595741251148256,0.9997629283490316
ElasticNet,일반입원실_상급,0.019016884721306325,0.1012513461447897,0.9983543080529639
ElasticNet,일반입원실_일반,2.284663608161885,1.2111977877701274,0.9999480303208088
ElasticNet,정신과개방_일반,0.0016521631676684103,0.03468408331289308,0.9996695673664663
ElasticNet,정신과폐쇄_일반,0.020860255958434496,0.12112521245486658,0.9999582794880831
ElasticNet,중환자실_성인,0.013011692137562736,0.09804403612306108,0.9999352383634795
ElasticNet,회복실,0.003904231372759023,0.05423611250794328,0.9996180643222301
ElasticNet,총병상수,5.954345238444559,1.8999679100112132,0.999921691018288
DecisionTree,격리병실,14.25,3.3333333333333335,0.8618367896579585
DecisionTree,무균치료실,0.0,0.0,1.0
DecisionTree,물리치료실,15.0,3.0,0.9202127659574468
DecisionTree,분만실,0.125,0.25,0.9824902723735408
DecisionTree,수술실,0.6666666666666666,0.6666666666666666,0.953125
DecisionTree,신생아실,0.08333333333333333,0.16666666666666666,0.9971153846153846
DecisionTree,응급실,21.75,4.166666666666667,0.6148548942449582
DecisionTree,인공신장실,17.583333333333332,3.5,0.8478731074260994
DecisionTree,일반입원실_상급,2.1666666666666665,1.3333333333333333,0.8125
DecisionTree,일반입원실_일반,1818.4583333333333,26.166666666666668,0.9586351811845347
DecisionTree,정신과개방_일반,0.0,0.0,1.0
DecisionTree,정신과폐쇄_일반,0.0,0.0,1.0
