구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계
IM,"4,850","4,229","4,837","4,765","4,879","4,446","4,478","4,606","4,148","4,531","4,472","4,710","54,951"
NE,"1,119",905,624,555,555,569,571,478,495,553,656,604,"7,684"
PED,786,810,765,772,650,817,659,621,628,620,810,901,"8,839"
NP,,,,,,,,,,,,,
GS,"1,767","1,465","1,589","1,344","1,433","1,696","1,639","1,729","1,233","1,196","1,321","1,601","18,013"
CS,,,,,,,,,,,,,
OS,"2,498","2,193","2,272","2,161","1,984","1,969","2,186","2,253","1,935","1,833","2,171","2,321","25,776"
NS,"1,049","1,185","1,149",921,"1,059","1,293","1,428","1,161",790,"1,102","1,365","1,521","14,023"
OG,,,,,,,3,,3,4,,,10
OPH,17,17,23,16,18,14,18,17,16,18,17,18,209
DM,,,,,,,,,,,,,
ENT,,,,16,,,2,5,15,54,60,20,172
URO,376,239,377,311,425,412,314,278,278,306,431,436,"4,183"
DT,,,,,,,,,,,,,
RM,"2,444","2,268","2,447","2,161","2,230","2,214","2,370","2,394","2,212","2,101","2,121","2,394","27,356"
FM,"1,594","1,451","1,829","1,736","1,722","1,825","1,884","1,733","1,405","1,060","1,211","1,414","18,864"
ER,,,,2,9,,1,16,,,,,28
NM,,,,,,,,,,,,,
합 계,"16,500","14,762","15,912","14,760","14,964","15,255","15,553","15,291","13,158","13,378","14,635","15,940","180,108"
NB,,,,,,,,,,,,,
