model_name,model_type,accuracy,precision,recall,f1_score,mae,rmse,r2_score
DecisionTree_Classification,classification,0.53125,0.6103238866396761,0.53125,0.5598006644518273,,,
RandomForest_Classification,classification,0.65625,0.7617647058823529,0.65625,0.6792152704135738,,,
GradientBoosting_Classification,classification,0.8125,0.8012820512820512,0.8125,0.8028571428571429,,,
DT_Regression,regression,,,,,62047525.274254285,246589475.67654246,-105210.39067055352
RF_Regression,regression,,,,,42039928.47909942,166486861.54011863,-47958.38658004423
GB_Regression,regression,,,,,62011956.01734181,246525809.3996716,-105156.06918917826
LightGBM_Classification,classification,0.9032258064516129,0.8519061583577713,0.9032258064516129,0.8736593647770093,,,
