년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료비,진료과,high_cost,pred_bin,pred_cost
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0,2335613.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0,1626120.0,내과,1,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
